application_id,application_date,loan_type,loan_amount_requested_usd,loan_purpose,repayment_tenure_months,applicant_ssn,applicant_full_name,applicant_date_of_birth,applicant_gender,applicant_marital_status,applicant_level_of_education,applicant_street_address,applicant_city,applicant_state,applicant_zip_code,applicant_phone_number,applicant_email_address,employment_type,employer_name,duration_of_employment_years,monthly_income_usd,bank_account_number,next_of_kin_full_name,next_of_kin_relationship,next_of_kin_phone_number
USLW-APP-20240924-193,2024-09-24,Small Business,275830.0,Equipment Purchase,84.0,292-57-7046,Erica Martinez,1984-05-29,Female,Separated,Doctorate,884 Jerome Land,West David,Oklahoma,1442.0,3561570412,jessekirk@hotmail.com,Salaried,"Macias, Reese and Pacheco Corp.",16.6,18827.0,96243130.0,Patricia Smith,Sibling,001078333870429358
USLW-APP-20240519-284,2024-05-19,Personal,17121.0,Debt Consolidation,40.0,132-70-5666,Courtney Adams,1954-01-25,Other,Married,Bachelor's Degree,5912 Jensen Knoll Suite 538,New Zacharyside,Iowa,28378.0,672041479860392,pthomas@burton.com,Self-Employed,Barnett-Campbell LLC,8.0,12215.0,101875998.0,Megan Hunt,Parent,6529506609
USLW-APP-20240718-990,2024-07-18,Auto,19096.0,Refinance,24.0,489-64-8826,Dr. Richard Erickson,1988-01-08,Female,Separated,Doctorate,9779 Wilkerson View Apt. 280,Gibbsstad,Wisconsin,55641.0,9580083319075,elizabeth41@bell-oneal.com,Self-Employed,"Davidson, Patel and Wilson LLC",10.1,18109.0,40851015.0,William Miller,Friend,8162619496
USLW-APP-20241214-343,2024-12-14,Personal,17325.0,Medical Expenses,36.0,257-82-3650,Daniel Pace,1988-05-15,Female,Divorced,Doctorate,6987 Michael Villages Suite 809,Vangborough,South Dakota,80294.0,064444265081995,josemartinez@barnett.com,Hourly,Lee-Patel Corp.,28.2,21875.0,39487416.0,Raven Fry,Sibling,9756263297
USLW-APP-20241103-315,2024-11-03,Small Business,394092.0,Startup Costs,70.0,820-40-3374,Stephanie Johnson,1987-05-06,Other,Married,Some College,21449 Carrie Via Suite 457,Greenport,North Carolina,20790.0,92344868947122,allisonsmith@yahoo.com,Hourly,"Walsh, Sullivan and Tucker Corp.",16.3,12880.0,51104997.0,Gregory Stewart,Parent,0019070379726
USLW-APP-20250120-454,2025-01-20,Personal,20039.0,Education,57.0,830-09-3708,Tiffany Scott,1966-03-28,Other,Single,Bachelor's Degree,58609 Diaz Summit Apt. 020,Riosmouth,Michigan,82794.0,13666417108,davisjacqueline@watson-evans.com,Salaried,Welch-Cox Corp.,3.9,27883.0,124715873.0,Steven Porter,Sibling,3755920186
USLW-APP-20241203-771,2024-12-03,Small Business,69818.0,Inventory,47.0,538-23-0704,Morgan Perez,1997-07-14,Female,Married,Some College,360 Wells Ridges Apt. 558,East James,South Dakota,50958.0,0922559947,pnixon@weaver-rice.org,Salaried,Taylor-Garcia Corp.,15.4,18489.0,100858000.0,Kristen Perez,Friend,803331588323566
USLW-APP-20241128-866,2024-11-28,Personal,43948.0,Medical Expenses,54.0,822-79-4711,Jeffrey Thomas,1993-07-29,Female,Married,Some College,993 Matthew Circle,New Rebeccabury,Illinois,76999.0,162338634636872,kathleen09@yahoo.com,Hourly,Moore-Ferguson Corp.,28.0,19977.0,71984029.0,Kimberly King,Spouse,181808957594048
USLW-APP-20240628-775,2024-06-28,Personal,17915.0,Other,52.0,568-09-9653,Danielle Gallegos,1992-11-18,Other,Married,Doctorate,7571 Monica Valleys Apt. 237,Wongfurt,California,53002.0,8622963155097,gchan@yahoo.com,Salaried,Hoover Group Corp.,16.7,21063.0,14591194.0,Daniel Peterson,Parent,515014072323745
USLW-APP-20241203-453,2024-12-03,Small Business,119728.0,Inventory,55.0,349-81-0910,Sonya Thomas,1990-09-01,Other,Divorced,Master's Degree,848 Brewer Squares,North Michaeltown,Michigan,87027.0,2498321304364,james82@hotmail.com,Salaried,Parker-Love Corp.,17.1,26775.0,128145834.0,Shawn Mcdonald,Friend,2025241505207
USLW-APP-20250319-324,2025-03-19,Personal,34082.0,Medical Expenses,45.0,234-50-2064,Jennifer Moses,1987-02-22,Male,Separated,Master's Degree,1849 Karen Shoal Suite 082,Bowenmouth,Oregon,32480.0,1482645449725340,jamesanderson@harrison.org,Self-Employed,"Sanchez, Wallace and Warren LLC",10.5,16166.0,36848595.0,Jennifer Villarreal,Spouse,198612225315282
USLW-APP-20240808-617,2024-08-08,Personal,21850.0,Medical Expenses,46.0,158-28-2397,Jeffrey Davis,1979-12-11,Other,Separated,Associate's Degree,066 Peterson Cliffs,Evelynside,Wisconsin,47990.0,77631920487489,karenjones@hotmail.com,Self-Employed,"Green, Anthony and Brown LLC",11.4,23958.0,100120961.0,Jacob Baker,Sibling,6306867145
USLW-APP-20240710-265,2024-07-10,Small Business,380900.0,Expansion,32.0,500-72-1999,Jessica Le,1999-08-24,Other,Divorced,Bachelor's Degree,70151 Jamie Drive Suite 797,Sandraside,Alabama,10365.0,460004194003417,denisemoore@miller-castillo.com,Salaried,"Hernandez, Payne and Walker Corp.",5.1,16041.0,11614553.0,Rachel Buchanan,Sibling,1484757556
USLW-APP-20250213-625,2025-02-13,Personal,9987.0,Education,52.0,339-39-0844,Michael Ryan,1972-05-24,Male,Single,Associate's Degree,5956 Wood Mission,Nancystad,Kansas,36006.0,7272340285213,vochoa@hotmail.com,Salaried,Hendricks LLC Corp.,2.1,19462.0,69488854.0,Robert Crawford,Friend,16917772582
USLW-APP-20240531-131,2024-05-31,Personal,39952.0,Debt Consolidation,18.0,233-13-4814,Ashley Dunn,1966-10-05,Other,Divorced,Associate's Degree,92786 Christopher Creek,Port Sherryberg,South Carolina,57817.0,3103560664,david67@holder-savage.com,Salaried,"Pacheco, Grimes and Blake Corp.",6.5,18343.0,60819736.0,Dana Riggs,Sibling,1673603593924458
USLW-APP-20241210-120,2024-12-10,Personal,49584.0,Education,41.0,782-59-0343,Sarah Jordan,2000-12-01,Male,Divorced,Bachelor's Degree,24275 Sean Manor,Port Stephanie,Illinois,585.0,1336006902,akim@hart-gilmore.org,Salaried,Gutierrez Ltd Corp.,16.7,4067.0,24513625.0,Paige Wood,Parent,8947114823
USLW-APP-20241020-771,2024-10-20,Personal,44652.0,Other,13.0,701-19-4072,Mark David,1952-09-01,Male,Single,Some College,7959 Jennifer River Suite 428,Norrischester,Wisconsin,62674.0,7384640554,ncarter@hotmail.com,Self-Employed,Underwood-Cross LLC,8.5,17264.0,128254408.0,Thomas Stanton,Sibling,1610133682
USLW-APP-20250320-747,2025-03-20,Mortgage,256583.0,Home Purchase,323.0,648-33-5474,Sara Brown,1991-05-21,Female,Widowed,High School Diploma,95170 Justin Spur Apt. 819,Eugeneview,Rhode Island,4408.0,15417824234303,clarkcharles@larsen.com,Salaried,Ford-Chan Corp.,7.2,5842.0,49498741.0,Amber Bush,Friend,1647737210872566
USLW-APP-20240603-323,2024-06-03,Personal,3172.0,Vacation,54.0,886-31-0112,Pamela Brewer,1959-10-02,Female,Divorced,Bachelor's Degree,41940 Solis Heights,Wendyhaven,South Dakota,35953.0,644623174272227,susangibbs@lee-bruce.com,Salaried,"Cooper, Rios and Smith Corp.",25.4,20589.0,70170096.0,Eric Wright,Sibling,2408549041762
USLW-APP-20241222-422,2024-12-22,Personal,40865.0,Debt Consolidation,35.0,550-24-2976,Sabrina Kim,2003-07-24,Male,Divorced,Master's Degree,381 Wallace Squares Apt. 760,New Sandrabury,Iowa,61413.0,6834175051,ericferguson@thomas-johnson.info,Self-Employed,Gomez Inc LLC,16.8,10764.0,75240617.0,Katherine Graham,Friend,5118950789
USLW-APP-20240810-866,2024-08-10,Mortgage,714420.0,Home Purchase,316.0,862-08-7345,Frank Herrera,1955-09-04,Other,Divorced,Some College,4334 Baker Expressway,South Amanda,Wisconsin,3707.0,0019082351767,smithrachel@hotmail.com,Salaried,Thomas Group Corp.,20.3,25793.0,40743178.0,Jordan Carrillo,Spouse,975046284413227
USLW-APP-20240513-631,2024-05-13,Personal,37461.0,Other,51.0,129-68-5312,Sharon White,1983-05-06,Male,Single,High School Diploma,01628 Lori Village,Nicholasborough,Iowa,85937.0,11981359319251,heatherprice@yahoo.com,Self-Employed,Haney and Sons LLC,11.1,10821.0,33062060.0,Judith Vargas,Friend,134475709276868
USLW-APP-20250113-545,2025-01-13,Small Business,316028.0,Expansion,81.0,886-93-5498,Eric Gaines,1967-01-03,Other,Divorced,Master's Degree,829 Jade Well Apt. 452,Tuckerberg,Florida,51814.0,1900825326956,pamelagriffin@hotmail.com,Salaried,"Robertson, Horne and Simmons Corp.",15.3,11370.0,100112173.0,Kimberly Black,Friend,4371995450076
USLW-APP-20241019-587,2024-10-19,Mortgage,386320.0,Home Purchase,286.0,215-24-4217,Joshua Moore,2006-05-06,Female,Separated,Associate's Degree,8229 Michelle Cape Suite 949,Mccoyton,Colorado,12474.0,5599520837,gmiller@garcia-johnson.com,Salaried,Taylor-Garcia Corp.,1.3,2459.0,26708551.0,Laura Neal,Spouse,6297779275
USLW-APP-20250202-605,2025-02-02,Mortgage,978768.0,Refinance,258.0,408-82-1120,Shelby Hunter,1993-08-07,Female,Divorced,Some College,39538 Brian Prairie,New Amber,Louisiana,73932.0,03623882667918,cristian00@nixon-kim.com,Salaried,"Jones, Thomas and Boyle Corp.",22.1,22780.0,64208110.0,Shannon Smith,Parent,8925223541
USLW-APP-20241011-701,2024-10-11,Personal,42928.0,Debt Consolidation,21.0,572-20-6451,Steven Wallace,1975-04-12,Other,Single,Bachelor's Degree,220 Patrick Island,Weeksborough,North Carolina,71729.0,00129281356076383,gleblanc@gmail.com,Salaried,Meyers-Powell Corp.,23.6,11182.0,77297901.0,Peter Chapman,Parent,0014543289916
USLW-APP-20240903-769,2024-09-03,Small Business,440274.0,Startup Costs,80.0,888-13-9509,Carolyn Ortiz,1994-11-10,Other,Divorced,Some College,486 Buckley Shore,Nicholasmouth,North Carolina,63914.0,616944159497890,lesliemorgan@knapp.info,Self-Employed,Zimmerman-Franklin LLC,14.6,19886.0,26583527.0,Jeffrey Ewing,Parent,1297628310964909
USLW-APP-20240405-392,2024-04-05,Mortgage,925643.0,Refinance,239.0,562-48-7174,Dr. Austin Rhodes Jr.,1973-03-13,Female,Widowed,Some College,67625 Michael Inlet Apt. 416,Lake Kimberly,Ohio,1216.0,0639293062,christopherpratt@gmail.com,Salaried,Beck and Sons Corp.,12.5,15672.0,17820189.0,Sabrina Atkins,Spouse,607802272552958
USLW-APP-20241211-894,2024-12-11,Personal,19311.0,Home Improvement,32.0,707-23-3861,Jessica Henderson,1962-06-21,Female,Single,Some College,6086 Patel Route,Port Timothy,Virginia,13097.0,0019246387272483,deborah12@clarke-hutchinson.com,Self-Employed,Gonzalez and Sons LLC,15.8,4438.0,19156466.0,Michael Holland,Sibling,0012129511996
USLW-APP-20241001-107,2024-10-01,Mortgage,340867.0,Refinance,212.0,402-45-1508,Micheal Herman,1997-09-12,Other,Separated,Doctorate,41308 Jonathan Rue Suite 701,North Raymondfort,Virginia,67626.0,0019053226762,jordankimberly@hotmail.com,Self-Employed,Robertson-Sullivan LLC,1.8,6202.0,19527749.0,Anthony Logan,Friend,3537311074
USLW-APP-20250307-917,2025-03-07,Personal,11142.0,Debt Consolidation,52.0,295-07-8482,BENJAMIN MARTINEZ,1965-12-06,Female,Separated,Some College,855 Bush Villages,South Carmen,Illinois,92951.0,5369848775,ojohnson@walsh.com,Salaried,Atkinson-Spencer Corp.,26.9,13756.0,51327923.0,Scott Miller,Spouse,159483672059280
USLW-APP-20240503-183,2024-05-03,Small Business,178313.0,Inventory,50.0,509-21-1015,Mitchell Stone,1989-07-16,Male,Divorced,Master's Degree,154 Brandon Square,East Claudiaside,South Carolina,50194.0,9686111629,walshmark@carter.com,Salaried,Benitez Group Corp.,29.4,23930.0,39287551.0,Jesus Moore,Friend,2843188896
USLW-APP-20240702-226,2024-07-02,Small Business,411960.0,Working Capital,35.0,083-35-0958,Thomas Jackson,1997-12-02,Female,Married,Master's Degree,9227 Kathy Prairie Apt. 487,Port Rebecca,Michigan,79173.0,10897717997410,petersalazar@hotmail.com,Self-Employed,"Pope, White and Wolfe LLC",3.2,11361.0,109853035.0,Angela Palmer,Sibling,0643721954374
USLW-APP-20240525-547,2024-05-25,Personal,44337.0,Vacation,40.0,432-79-5173,Gloria Mendez,1964-08-21,Male,Widowed,Doctorate,060 Wolfe Lodge Suite 687,South Kaitlynstad,Oklahoma,47397.0,1438726947,aprilgarrison@cooper-ellis.com,Salaried,Smith Inc Corp.,9.6,27125.0,45228481.0,Kimberly Pennington,Sibling,1729744949942454
USLW-APP-20241114-664,2024-11-14,Personal,13306.0,Medical Expenses,30.0,118-28-1378,Amy Reeves,1966-07-31,Other,Divorced,Bachelor's Degree,1997 Morton Shore,West Erinview,Wisconsin,36264.0,083501304667885,kyle39@yahoo.com,Self-Employed,Mahoney and Sons LLC,13.5,9160.0,90977813.0,Tina Lara,Spouse,00110402497729738
USLW-APP-20250207-643,2025-02-07,Small Business,225205.0,Inventory,39.0,595-15-8735,April Mckenzie,1962-03-30,Male,Widowed,Associate's Degree,242 Clark Forge,Port Susanburgh,Virginia,79802.0,5058432997229,heathervillegas@daniels.net,Salaried,Mueller PLC Corp.,17.2,14158.0,71854269.0,David Leonard,Spouse,1247769839454795
USLW-APP-20241212-194,2024-12-12,Small Business,485544.0,Inventory,26.0,467-14-8894,Shane Bennett,1949-12-10,Male,Single,Bachelor's Degree,11354 Tara Street,Collinsmouth,Michigan,20540.0,9210302779,zmorrow@gmail.com,Salaried,Yang-Nielsen Corp.,16.8,28049.0,84892917.0,Michele Moreno,Parent,4147580407
USLW-APP-20250111-244,2025-01-11,Mortgage,160791.0,Refinance,199.0,086-31-1134,Lori Martin,1992-11-17,Female,Married,Master's Degree,015 Elizabeth Rapids,Camachoshire,Florida,35120.0,5019451663344,stonetravis@henderson-khan.com,Self-Employed,Costa-Scott LLC,16.7,10025.0,34788084.0,Sharon Foster,Friend,139817705006586
USLW-APP-20240717-162,2024-07-17,Personal,8898.0,Debt Consolidation,59.0,781-94-5845,Maria Allen,1985-02-01,Female,Single,Associate's Degree,34543 Amber Gateway,Lake Michelle,Nebraska,63930.0,4932876819,hinesomar@hotmail.com,Salaried,"Romero, Robertson and Mcguire Corp.",27.9,27979.0,104799709.0,Matthew Guzman,Sibling,1861558350251825
USLW-APP-20241022-602,2024-10-22,Mortgage,268106.0,Refinance,198.0,239-49-6622,David Thompson,1989-08-15,Other,Widowed,Some College,109 Dominique Plaza Suite 629,Port Aprilmouth,Hawaii,734.0,001980656060638494,williamnewman@yahoo.com,Self-Employed,Coleman-Wood LLC,17.9,9242.0,87276734.0,Louis Wagner,Spouse,4110195226676
USLW-APP-20250323-537,2025-03-23,Personal,3751.0,Debt Consolidation,26.0,431-38-8989,Alan Martin,2005-10-15,Other,Married,Some College,0647 Martinez Square,North Natalie,North Carolina,90552.0,8359519342441,kimcynthia@hotmail.com,Salaried,"Carter, Bell and Hess Corp.",19.4,23224.0,57504821.0,Gregory Holland,Sibling,1929254793
USLW-APP-20250311-296,2025-03-11,Personal,47597.0,Education,50.0,268-17-3155,Arthur Scott,2001-05-31,Other,Single,Associate's Degree,618 Scott Loaf Suite 482,Kimberlyburgh,North Carolina,44973.0,799964332933064,brian79@yahoo.com,Salaried,Johnson Group Corp.,6.8,15200.0,28757649.0,Timothy Ferguson,Spouse,51986553599042
USLW-APP-20241115-255,2024-11-15,Auto,62155.0,Used Car Purchase,34.0,215-06-5203,Courtney Knight,2006-10-16,Other,Widowed,Doctorate,1305 Kenneth Fork,Rodneyburgh,North Carolina,83303.0,467249800311164,kterrell@yahoo.com,Salaried,Foster-Hunter Corp.,4.7,25361.0,44400064.0,Cheryl Coleman,Parent,8869595387
USLW-APP-20240805-434,2024-08-05,Small Business,105555.0,Equipment Purchase,38.0,437-78-8093,Melissa Hill,1950-08-12,Other,Married,Some College,28789 Carter Pass,Kathyburgh,Oklahoma,67808.0,687319680124614,michelle69@yahoo.com,Self-Employed,Gordon LLC LLC,18.8,3616.0,98362789.0,Carol Wilson,Parent,19867769933049
USLW-APP-20250328-191,2025-03-28,Personal,23405.0,Vacation,24.0,740-96-0857,Derrick Oneill,1957-12-01,Female,Single,High School Diploma,9340 Edward Garden,East Barry,Arkansas,82653.0,6300714181,nfrancis@yahoo.com,Hourly,"Jones, Chen and Barnett Corp.",5.0,18149.0,83563069.0,Deanna Johnson,Sibling,020772142891729
USLW-APP-20241011-581,2024-10-11,Personal,4009.0,Debt Consolidation,21.0,617-53-7457,Randy Moore,1976-04-21,Female,Divorced,Some College,70984 Jason Hollow Apt. 572,North Julie,Nevada,33201.0,776555795887190,cynthiajohnson@gmail.com,Salaried,Gray Ltd Corp.,20.6,2471.0,19626718.0,Joseph Woods,Parent,7929753140
USLW-APP-20250402-765,2025-04-02,Small Business,129166.0,Working Capital,60.0,103-51-6353,Connie Harrell,1950-05-07,Other,Divorced,Associate's Degree,93425 Don Creek Suite 542,Hartborough,Colorado,14313.0,0019681565495,dylancoleman@wilson.com,Salaried,Jordan LLC Corp.,20.1,7306.0,118111205.0,Jonathan Martin,Friend,224327497333380
USLW-APP-20241227-316,2024-12-27,Small Business,384960.0,Expansion,65.0,419-92-5222,Michael Mullins,1962-04-24,Male,Divorced,High School Diploma,33842 Roach Stravenue Suite 154,New Valerietown,Arkansas,72381.0,11695024472347,hardintyler@gmail.com,Self-Employed,"Peterson, Steele and Wood LLC",12.9,18929.0,78368842.0,Robert Lee,Sibling,6853629895
USLW-APP-20240909-340,2024-09-09,Personal,19327.0,Education,38.0,747-25-9027,Jessica Crosby,1995-02-12,Female,Separated,High School Diploma,0675 Amber Islands Suite 255,Leslieberg,Nebraska,8615.0,63337491199242,david97@yahoo.com,Salaried,Wright PLC Corp.,8.1,10356.0,36223576.0,Kristen Hooper,Parent,6097043917
USLW-APP-20241102-314,2024-11-02,Mortgage,158279.0,Home Purchase,354.0,645-90-7998,Jill Bradford,1959-10-23,Male,Separated,High School Diploma,3589 Kristin Ways,Michelleport,Colorado,69218.0,57993034216010,travismendez@gmail.com,Salaried,Hall-Murray Corp.,29.0,23259.0,62056377.0,Tina Smith,Sibling,3687500745
