applicant_id,employment_id,employment_type,employer_name,duration_of_employment_years,monthly_income_usd,bank_account_number
Ap521909,Em521909,Salaried,Taylor-Garcia Corp.,15.4,18489.0,100858000.0
Ap358795,Em358795,Hourly,Moore-Ferguson Corp.,28.0,19977.0,71984029.0
Ap586232,Em586232,Salaried,Hoover Group Corp.,16.7,21063.0,14591194.0
Ap600186,Em600186,Salaried,Parker-Love Corp.,17.1,26775.0,128145834.0
Ap256730,Em256730,Self-Employed,"Sanchez, Wallace and Warren LLC",10.5,16166.0,36848595.0
Ap970910,Em970910,Self-Employed,"Green, Anthony and Brown LLC",11.4,23958.0,100120961.0
Ap484681,Em484681,Salaried,"Hernandez, Payne and Walker Corp.",5.1,16041.0,11614553.0
Ap249503,Em249503,Salaried,Hendricks LLC Corp.,2.1,19462.0,69488854.0
Ap754811,Em754811,Salaried,"Pacheco, Grimes and Blake Corp.",6.5,18343.0,60819736.0
Ap627035,Em627035,Salaried,Gutierrez Ltd Corp.,16.7,4067.0,24513625.0
Ap748143,Em748143,Self-Employed,Underwood-Cross LLC,8.5,17264.0,128254408.0
Ap552366,Em552366,Salaried,Ford-Chan Corp.,7.2,5842.0,49498741.0
Ap165725,Em165725,Salaried,"Cooper, Rios and Smith Corp.",25.4,20589.0,70170096.0
Ap229981,Em229981,Self-Employed,Gomez Inc LLC,16.8,10764.0,75240617.0
Ap184654,Em184654,Salaried,Thomas Group Corp.,20.3,25793.0,40743178.0
Ap691723,Em691723,Self-Employed,Haney and Sons LLC,11.1,10821.0,33062060.0
Ap419030,Em419030,Salaried,"Robertson, Horne and Simmons Corp.",15.3,11370.0,100112173.0
Ap428947,Em428947,Salaried,Taylor-Garcia Corp.,1.3,2459.0,26708551.0
Ap655839,Em655839,Salaried,"Jones, Thomas and Boyle Corp.",22.1,22780.0,64208110.0
Ap373538,Em373538,Salaried,Meyers-Powell Corp.,23.6,11182.0,77297901.0
Ap431236,Em431236,Self-Employed,Zimmerman-Franklin LLC,14.6,19886.0,26583527.0
Ap628178,Em628178,Salaried,Beck and Sons Corp.,12.5,15672.0,17820189.0
Ap665894,Em665894,Self-Employed,Gonzalez and Sons LLC,15.8,4438.0,19156466.0
Ap589492,Em589492,Self-Employed,Robertson-Sullivan LLC,1.8,6202.0,19527749.0
Ap356840,Em356840,Salaried,Atkinson-Spencer Corp.,26.9,13756.0,51327923.0
Ap573254,Em573254,Salaried,Benitez Group Corp.,29.4,23930.0,39287551.0
Ap449457,Em449457,Self-Employed,"Pope, White and Wolfe LLC",3.2,11361.0,109853035.0
Ap765987,Em765987,Salaried,Smith Inc Corp.,9.6,27125.0,45228481.0
Ap370936,Em370936,Self-Employed,Mahoney and Sons LLC,13.5,9160.0,90977813.0
Ap339931,Em339931,Salaried,Mueller PLC Corp.,17.2,14158.0,71854269.0
Ap339629,Em339629,Salaried,Yang-Nielsen Corp.,16.8,28049.0,84892917.0
Ap305041,Em305041,Self-Employed,Costa-Scott LLC,16.7,10025.0,34788084.0
Ap798361,Em798361,Salaried,"Romero, Robertson and Mcguire Corp.",27.9,27979.0,104799709.0
Ap831912,Em831912,Self-Employed,Coleman-Wood LLC,17.9,9242.0,87276734.0
Ap517113,Em517113,Salaried,"Carter, Bell and Hess Corp.",19.4,23224.0,57504821.0
Ap168148,Em168148,Salaried,Johnson Group Corp.,6.8,15200.0,28757649.0
Ap877089,Em877089,Salaried,Foster-Hunter Corp.,4.7,25361.0,44400064.0
Ap748531,Em748531,Self-Employed,Gordon LLC LLC,18.8,3616.0,98362789.0
Ap351995,Em351995,Hourly,"Jones, Chen and Barnett Corp.",5.0,18149.0,83563069.0
Ap778843,Em778843,Salaried,Gray Ltd Corp.,20.6,2471.0,19626718.0
Ap672843,Em672843,Salaried,Jordan LLC Corp.,20.1,7306.0,118111205.0
Ap356508,Em356508,Self-Employed,"Peterson, Steele and Wood LLC",12.9,18929.0,78368842.0
Ap903591,Em903591,Salaried,Wright PLC Corp.,8.1,10356.0,36223576.0
Ap996942,Em996942,Salaried,Hall-Murray Corp.,29.0,23259.0,62056377.0
Ap206530,Em206530,Salaried,"Mullins, Wallace and Medina Corp.",17.3,24478.0,90530470.0
Ap704365,Em704365,Salaried,Gonzalez Inc Corp.,22.0,3619.0,83454149.0
Ap922352,Em922352,Hourly,"Gibbs, Valentine and Alvarez Corp.",12.7,28987.0,82261142.0
Ap560337,Em560337,Salaried,"Barton, Hess and Lewis Corp.",10.1,5704.0,13474814.0
Ap824839,Em824839,Salaried,Swanson-Thompson Corp.,18.0,6468.0,10338953.0
Ap905889,Em905889,Salaried,Richard Inc Corp.,4.0,15095.0,51017440.0
Ap559773,Em559773,Hourly,Burns Group Corp.,27.2,28784.0,66112932.0
Ap308261,Em308261,Salaried,Malone-Howard Corp.,15.9,24716.0,61586644.0
Ap864469,Em864469,Salaried,Walker Ltd Corp.,1.9,22284.0,24954019.0
Ap441097,Em441097,Salaried,Blankenship-Melton Corp.,18.9,9441.0,125242565.0
Ap415139,Em415139,Salaried,"Simon, Benjamin and Woods Corp.",23.3,26706.0,32784705.0
Ap271829,Em271829,Salaried,"Hawkins, Mcpherson and Johnson Corp.",1.4,3784.0,92027211.0
Ap371836,Em371836,Salaried,Chang-Chase Corp.,28.0,20528.0,102610877.0
Ap538974,Em538974,Salaried,"Jimenez, Blanchard and Hernandez Corp.",11.1,9825.0,27946969.0
Ap302283,Em302283,Salaried,"Chavez, Martinez and Jennings Corp.",24.2,27744.0,50199631.0
Ap296769,Em296769,Salaried,Fields Inc Corp.,4.4,22300.0,98536340.0
Ap661353,Em661353,Self-Employed,"Chapman, Tyler and Obrien LLC",6.7,16837.0,126508431.0
Ap323165,Em323165,Salaried,"Johnson, Larson and Kaiser Corp.",2.5,17512.0,103287513.0
Ap723587,Em723587,Salaried,"Murray, Walker and Thompson Corp.",25.2,21809.0,65473656.0
Ap635822,Em635822,Hourly,"Johnson, Mcdonald and Petersen Corp.",28.7,27845.0,35973720.0
Ap587879,Em587879,Self-Employed,Warren LLC LLC,11.5,16744.0,117229855.0
Ap664685,Em664685,Salaried,Kane Group Corp.,7.4,24857.0,47902938.0
Ap882038,Em882038,Salaried,Glover-Rivers Corp.,1.1,17743.0,48775009.0
Ap453531,Em453531,Salaried,Griffin Group Corp.,6.8,11349.0,112897114.0
Ap363160,Em363160,Salaried,"Reynolds, Haynes and Miranda Corp.",25.3,21287.0,84291990.0
Ap679879,Em679879,Salaried,Peters Ltd Corp.,7.0,24858.0,57391694.0
Ap320884,Em320884,Salaried,Boyer-Reed Corp.,10.3,2658.0,87213658.0
Ap123247,Em123247,Self-Employed,Cross-Jackson LLC,18.8,21710.0,35776736.0
Ap124300,Em124300,Salaried,"Bowen, Taylor and Mccarthy Corp.",16.3,26936.0,113175246.0
Ap567281,Em567281,Salaried,"Brown, Cruz and Davidson Corp.",29.7,19535.0,83686124.0
Ap707086,Em707086,Salaried,Patel-Sullivan Corp.,18.7,7793.0,44058047.0
Ap633556,Em633556,Salaried,Smith-Mckay Corp.,28.7,16565.0,60178037.0
Ap448951,Em448951,Salaried,Cordova Inc Corp.,18.8,20712.0,20370192.0
Ap374329,Em374329,Self-Employed,Valencia Group LLC,7.8,8155.0,35995313.0
Ap819064,Em819064,Salaried,Ramirez Inc Corp.,27.9,2493.0,124855775.0
Ap842139,Em842139,Salaried,English LLC Corp.,9.6,11551.0,49411472.0
Ap532315,Em532315,Salaried,Foster-Murray Corp.,11.7,28240.0,100315815.0
Ap616588,Em616588,Salaried,Garcia PLC Corp.,5.1,11658.0,119155707.0
Ap336584,Em336584,Salaried,"Solis, Walter and Hamilton Corp.",19.4,4534.0,35671828.0
Ap662332,Em662332,Hourly,Love-Singleton Corp.,23.4,8745.0,102114043.0
Ap937646,Em937646,Hourly,Padilla PLC Corp.,17.6,3400.0,95031291.0
Ap476896,Em476896,Salaried,"Farrell, Rodriguez and Burns Corp.",20.9,2775.0,95661881.0
Ap148984,Em148984,Salaried,"Miller, Vasquez and Carey Corp.",2.0,13992.0,25115679.0
Ap402918,Em402918,Self-Employed,Stone Group LLC,10.8,19815.0,12543885.0
Ap364712,Em364712,Hourly,"Gilbert, Morris and Galvan Corp.",3.8,25449.0,39861511.0
Ap220151,Em220151,Salaried,"Hayes, Ramos and Morgan Corp.",1.7,4073.0,126985821.0
Ap555808,Em555808,Salaried,"Mitchell, Dennis and Simmons Corp.",5.0,19845.0,41367634.0
Ap233767,Em233767,Salaried,"Aguirre, Santos and Mcdonald Corp.",26.5,24224.0,18167579.0
Ap748663,Em748663,Salaried,Smith Inc Corp.,10.4,10612.0,11440468.0
Ap803550,Em803550,Salaried,Shaw LLC Corp.,13.4,4363.0,89812277.0
Ap236330,Em236330,Salaried,Williams-Dominguez Corp.,5.2,26354.0,61687349.0
Ap580754,Em580754,Hourly,Williams PLC Corp.,13.1,8857.0,21566471.0
Ap401648,Em401648,Salaried,Brown and Sons Corp.,16.7,5142.0,129650315.0
Ap788519,Em788519,Salaried,Dunn-Benton Corp.,4.7,19767.0,79011703.0
Ap113986,Em113986,Salaried,"Floyd, Heath and Black Corp.",9.4,16424.0,87364507.0
Ap686146,Em686146,Salaried,Newton-Williams Corp.,10.6,28122.0,99272616.0
Ap229312,Em229312,Salaried,White Inc Corp.,11.5,21447.0,25075793.0
Ap112666,Em112666,Salaried,Randolph and Sons Corp.,1.7,28000.0,63516793.0
Ap400804,Em400804,Salaried,"Brown, Bates and Nelson Corp.",13.6,16059.0,58106008.0
Ap234633,Em234633,Salaried,Peterson-Stone Corp.,1.2,14689.0,103365037.0
Ap388998,Em388998,Self-Employed,Robinson-Norris LLC,11.9,6976.0,83846980.0
Ap950937,Em950937,Salaried,"Frey, Patterson and Campbell Corp.",25.9,22083.0,89607466.0
Ap728776,Em728776,Salaried,Jackson Inc Corp.,1.3,8182.0,47437940.0
Ap807611,Em807611,Salaried,Martin and Sons Corp.,10.1,27943.0,53534811.0
Ap384806,Em384806,Salaried,Bryant Inc Corp.,12.6,5673.0,32149612.0
Ap894824,Em894824,Salaried,Thomas-Anthony Corp.,23.1,5505.0,122694886.0
Ap130535,Em130535,Salaried,"Forbes, Mitchell and Martin Corp.",20.7,4476.0,49031836.0
Ap475713,Em475713,Salaried,"Wood, Golden and Pacheco Corp.",21.1,16306.0,104637159.0
Ap938688,Em938688,Salaried,Warren-Turner Corp.,14.7,4172.0,117517389.0
Ap451279,Em451279,Salaried,Ward Group Corp.,19.0,15210.0,94071906.0
Ap921654,Em921654,Salaried,Smith Group Corp.,21.8,24406.0,59893200.0
Ap701661,Em701661,Salaried,Benjamin Inc Corp.,23.5,3742.0,67702448.0
Ap747972,Em747972,Salaried,Williams-Deleon Corp.,11.8,15845.0,36549713.0
Ap589570,Em589570,Self-Employed,"Bennett, Gardner and Scott LLC",12.9,20916.0,64818542.0
Ap556551,Em556551,Salaried,"Chavez, Hurley and Miller Corp.",18.3,17245.0,10613649.0
Ap373109,Em373109,Self-Employed,"Ramos, Williams and Young LLC",19.0,10148.0,99910583.0
Ap124538,Em124538,Self-Employed,Lee and Sons LLC,8.2,14739.0,37295590.0
Ap994498,Em994498,Hourly,Davidson Group Corp.,25.6,21906.0,20359896.0
Ap301664,Em301664,Self-Employed,Lynn and Sons LLC,7.8,7498.0,62072526.0
Ap591234,Em591234,Hourly,Weiss-Newman Corp.,25.3,24100.0,114465049.0
Ap999684,Em999684,Salaried,Lewis and Sons Corp.,18.6,5233.0,68507804.0
Ap239182,Em239182,Hourly,"Ruiz, Davis and Myers Corp.",22.4,3038.0,96479483.0
Ap572525,Em572525,Salaried,"Arnold, Bailey and Hernandez Corp.",12.1,15569.0,39251529.0
Ap258338,Em258338,Salaried,"Bond, Smith and Patton Corp.",23.2,13287.0,13488224.0
Ap284064,Em284064,Salaried,Rodriguez Ltd Corp.,8.9,27079.0,67420047.0
Ap314020,Em314020,Hourly,"Hunter, Carroll and Diaz Corp.",14.8,16883.0,64460220.0
Ap723094,Em723094,Salaried,"Davis, Harris and Logan Corp.",19.7,11344.0,57988722.0
Ap997421,Em997421,Salaried,"Wright, Jones and Meza Corp.",4.3,12081.0,110325219.0
Ap715270,Em715270,Self-Employed,Peters PLC LLC,18.8,22630.0,109809364.0
Ap745914,Em745914,Salaried,Hanson-Johnson Corp.,15.3,6118.0,54780884.0
Ap219176,Em219176,Salaried,Carter-Perez Corp.,12.8,12091.0,23234840.0
Ap318126,Em318126,Salaried,Moore and Sons Corp.,7.4,4027.0,90931066.0
Ap318969,Em318969,Self-Employed,Schmidt Inc LLC,19.8,21913.0,75960395.0
Ap222409,Em222409,Salaried,"Collier, Wilson and Brown Corp.",10.5,29185.0,54399330.0
Ap647707,Em647707,Salaried,Gonzalez PLC Corp.,11.4,6760.0,46497994.0
Ap353618,Em353618,Self-Employed,Rogers Group LLC,13.3,14443.0,103083704.0
Ap869598,Em869598,Hourly,Martin-Soto Corp.,3.4,16665.0,108080236.0
Ap150015,Em150015,Salaried,"Hansen, Duffy and Braun Corp.",13.0,28371.0,98966716.0
Ap872838,Em872838,Salaried,"Thomas, Holland and Olsen Corp.",0.8,13791.0,75103806.0
Ap222096,Em222096,Salaried,"Moses, Barnes and Page Corp.",2.2,14393.0,49758591.0
Ap731347,Em731347,Salaried,"Gallagher, Smith and Pena Corp.",14.8,10445.0,129824015.0
Ap285340,Em285340,Salaried,"Huerta, Sullivan and Rogers Corp.",2.8,18872.0,107337799.0
Ap210687,Em210687,Salaried,Grant-Vaughn Corp.,1.7,11139.0,65768455.0
Ap974371,Em974371,Salaried,Page-Washington Corp.,3.2,26535.0,79052733.0
Ap511357,Em511357,Self-Employed,"Brown, Brady and Elliott LLC",15.2,19131.0,128435984.0
Ap835716,Em835716,Hourly,"Norton, Leon and Phillips Corp.",28.4,6534.0,59407984.0
Ap205878,Em205878,Salaried,Howe-Smith Corp.,18.1,6123.0,90550557.0
Ap827270,Em827270,Salaried,Arnold-Brown Corp.,6.5,27143.0,59355117.0
Ap298286,Em298286,Salaried,Rodriguez-Doyle Corp.,21.4,19056.0,75887465.0
Ap873290,Em873290,Salaried,Martinez-Jackson Corp.,28.6,20047.0,60396262.0
Ap874684,Em874684,Salaried,Phillips-Sandoval Corp.,14.1,8662.0,119797880.0
Ap264899,Em264899,Salaried,Stephens LLC Corp.,18.9,23911.0,20406710.0
Ap424767,Em424767,Salaried,Charles-Holt Corp.,3.1,11036.0,66941857.0
Ap961882,Em961882,Salaried,Perez-Clayton Corp.,17.1,15743.0,71165893.0
Ap979858,Em979858,Salaried,"Walker, Lynn and Miller Corp.",22.3,19992.0,115061251.0
Ap479989,Em479989,Salaried,"Cortez, Richardson and Weber Corp.",4.9,25574.0,77405049.0
Ap515515,Em515515,Hourly,"Casey, Carter and Potter Corp.",23.6,10611.0,18649372.0
Ap143585,Em143585,Salaried,Mcconnell-Hill Corp.,25.6,28638.0,88520450.0
Ap471369,Em471369,Hourly,Duncan-Tate Corp.,26.0,20191.0,92360114.0
Ap164044,Em164044,Self-Employed,Williams-Klein LLC,14.5,18813.0,17172086.0
Ap542296,Em542296,Self-Employed,Wang-Brown LLC,3.4,5856.0,61637865.0
Ap209556,Em209556,Salaried,"Gill, Alvarez and Allen Corp.",28.0,26811.0,93317276.0
Ap626981,Em626981,Salaried,Burke PLC Corp.,21.8,29974.0,63354573.0
Ap981691,Em981691,Salaried,Hernandez LLC Corp.,14.6,13955.0,88964951.0
Ap867595,Em867595,Salaried,"Mayo, Smith and Smith Corp.",21.2,7841.0,123523642.0
Ap300235,Em300235,Self-Employed,Thomas LLC LLC,13.4,9678.0,127818010.0
Ap125939,Em125939,Self-Employed,Weeks PLC LLC,6.8,13387.0,21746411.0
Ap252906,Em252906,Self-Employed,"Bauer, Potter and Mayer LLC",17.9,20464.0,40858089.0
Ap642335,Em642335,Self-Employed,"Wilson, West and Hughes LLC",4.1,16358.0,88091536.0
Ap388249,Em388249,Salaried,"White, Anderson and Mcmahon Corp.",24.9,17290.0,127557119.0
Ap175766,Em175766,Salaried,"Crawford, Garner and David Corp.",19.0,19142.0,30314135.0
Ap508923,Em508923,Hourly,Ramirez-Taylor Corp.,11.3,13918.0,67674110.0
Ap515192,Em515192,Salaried,"Alvarado, Garcia and Berg Corp.",21.9,20740.0,50424241.0
Ap668550,Em668550,Salaried,"Maldonado, Sanders and Chan Corp.",10.7,26866.0,88049494.0
Ap487261,Em487261,Salaried,Reynolds-Wang Corp.,3.3,21517.0,91971339.0
Ap910208,Em910208,Self-Employed,"Brooks, Elliott and Jackson LLC",14.0,11868.0,41297199.0
Ap785440,Em785440,Salaried,Moss LLC Corp.,14.9,19912.0,57176615.0
Ap752664,Em752664,Salaried,Jenkins-Green Corp.,18.0,3272.0,122246603.0
Ap554589,Em554589,Salaried,"Robertson, Peters and Humphrey Corp.",8.2,25746.0,117668937.0
Ap237848,Em237848,Salaried,Holmes-Sparks Corp.,26.5,20047.0,44538800.0
Ap717075,Em717075,Salaried,"Burns, Jones and Johnson Corp.",24.0,21325.0,110448808.0
Ap227948,Em227948,Salaried,"Mason, Smith and Gray Corp.",27.2,18030.0,103024145.0
Ap679304,Em679304,Salaried,"Ruiz, Rodgers and Newman Corp.",15.6,20363.0,14190922.0
Ap502690,Em502690,Salaried,Watson-Wright Corp.,6.7,9886.0,122277193.0
Ap599046,Em599046,Self-Employed,Waters Group LLC,19.6,12386.0,93276113.0
Ap551269,Em551269,Salaried,"Johns, Harrison and Church Corp.",0.9,14485.0,27913086.0
Ap121959,Em121959,Salaried,"Kirk, Brewer and Conley Corp.",24.4,9724.0,21019067.0
Ap760890,Em760890,Self-Employed,"Vega, Ayala and Macias LLC",11.6,9063.0,63237564.0
Ap850216,Em850216,Salaried,Montgomery-Scott Corp.,14.2,5676.0,61566224.0
Ap890180,Em890180,Salaried,Quinn Inc Corp.,13.7,3249.0,86254524.0
Ap328576,Em328576,Salaried,Nelson and Sons Corp.,19.1,23860.0,61728512.0
Ap637833,Em637833,Self-Employed,Ramirez Group LLC,17.4,24839.0,92220937.0
Ap265838,Em265838,Self-Employed,"Rush, Johnson and Miller LLC",7.7,23620.0,105106537.0
Ap435674,Em435674,Hourly,Deleon Group Corp.,14.5,17652.0,121277699.0
Ap979989,Em979989,Salaried,Martinez-Richard Corp.,15.9,18332.0,10643402.0
Ap161087,Em161087,Salaried,Lutz Inc Corp.,3.4,7828.0,74637881.0
Ap693128,Em693128,Hourly,"Smith, Carr and Mullen Corp.",4.6,9502.0,49009237.0
Ap218451,Em218451,Self-Employed,Odonnell-Robbins LLC,7.2,5575.0,31404031.0
Ap547600,Em547600,Hourly,"Lucas, Moses and Graham Corp.",12.4,18496.0,39721237.0
Ap937437,Em937437,Salaried,Mills-Perez Corp.,13.4,18669.0,10378489.0
Ap539792,Em539792,Salaried,Bishop-Brown Corp.,26.3,5407.0,128899708.0
Ap139353,Em139353,Salaried,"Krause, Barnes and Miller Corp.",24.1,26794.0,40366351.0
Ap293075,Em293075,Salaried,"Jennings, Freeman and Phillips Corp.",6.7,21289.0,95291594.0
Ap314283,Em314283,Hourly,"Jones, Tucker and Campbell Corp.",24.0,19595.0,107279857.0
Ap414877,Em414877,Salaried,"Hoffman, Lopez and Schultz Corp.",3.3,18050.0,89693807.0
Ap165318,Em165318,Salaried,Walker-Sandoval Corp.,18.5,19830.0,66691194.0
Ap865313,Em865313,Salaried,Moore-Reyes Corp.,2.5,21741.0,23017944.0
Ap582690,Em582690,Salaried,Hall-Charles Corp.,13.5,14800.0,28107037.0
Ap516880,Em516880,Salaried,"Oliver, Garrett and Martin Corp.",18.5,14039.0,92976090.0
Ap691460,Em691460,Salaried,"Jordan, King and Bell Corp.",7.3,22917.0,68042165.0
Ap840976,Em840976,Salaried,Gilmore-Donaldson Corp.,15.2,23154.0,58824982.0
Ap881239,Em881239,Salaried,Wells-Medina Corp.,2.7,6825.0,27848067.0
Ap193264,Em193264,Salaried,Jensen and Sons Corp.,3.6,27101.0,68574691.0
Ap870746,Em870746,Self-Employed,Dominguez-Sutton LLC,10.0,24919.0,47348961.0
Ap913168,Em913168,Self-Employed,Baker Group LLC,7.0,12070.0,37431082.0
Ap325281,Em325281,Salaried,"Perry, Smith and Sanchez Corp.",17.3,3273.0,34472277.0
Ap737147,Em737147,Self-Employed,Patterson-Jacobson LLC,5.8,18355.0,94126152.0
Ap998613,Em998613,Salaried,Miller LLC Corp.,23.1,10216.0,68510590.0
Ap494070,Em494070,Self-Employed,Smith-Ward LLC,15.9,3352.0,83279557.0
Ap452228,Em452228,Salaried,"White, Sims and Marshall Corp.",22.2,16236.0,107266051.0
Ap531839,Em531839,Salaried,"Griffin, Mendez and Chang Corp.",6.6,8533.0,37255446.0
Ap369536,Em369536,Salaried,Wood-May Corp.,22.9,12082.0,64283193.0
Ap417824,Em417824,Salaried,White-Martin Corp.,16.9,5595.0,71919528.0
Ap357426,Em357426,Salaried,"Robles, Evans and George Corp.",2.8,15726.0,84867528.0
Ap277789,Em277789,Salaried,"Jones, Mcmahon and Burgess Corp.",24.4,9875.0,98945740.0
Ap613153,Em613153,Hourly,Hancock Inc Corp.,13.8,26505.0,118652609.0
Ap842452,Em842452,Salaried,Smith and Sons Corp.,26.3,24561.0,29212510.0
Ap937291,Em937291,Salaried,Patterson Inc Corp.,11.7,24079.0,50119530.0
Ap225657,Em225657,Salaried,Johnston and Sons Corp.,8.3,25698.0,105762793.0
Ap335167,Em335167,Salaried,Alvarado-Johnson Corp.,10.4,17496.0,17255288.0
Ap781669,Em781669,Salaried,Parsons-Torres Corp.,19.9,24447.0,36645248.0
Ap580671,Em580671,Salaried,Taylor LLC Corp.,9.4,18794.0,68894009.0
Ap819094,Em819094,Salaried,Zimmerman-Anderson Corp.,4.8,17961.0,48517869.0
Ap170467,Em170467,Self-Employed,Bryant Group LLC,17.9,21507.0,13640428.0
Ap283734,Em283734,Salaried,"Perez, West and Martin Corp.",21.4,12539.0,32691652.0
Ap722794,Em722794,Salaried,Hudson Group Corp.,11.9,18214.0,32139936.0
Ap209751,Em209751,Salaried,"Jones, Cohen and Singh Corp.",22.3,8478.0,45265350.0
Ap481050,Em481050,Salaried,Sanchez-Smith Corp.,29.9,28628.0,125645489.0
Ap911774,Em911774,Self-Employed,Park-Smith LLC,3.0,12070.0,81909667.0
Ap792517,Em792517,Self-Employed,Smith and Sons LLC,12.9,16769.0,69237830.0
Ap561079,Em561079,Salaried,Macdonald Ltd Corp.,6.2,24907.0,106668155.0
Ap468452,Em468452,Salaried,"Castaneda, Eaton and Weeks Corp.",7.1,21722.0,96307830.0
Ap206081,Em206081,Hourly,"Ball, Cervantes and Shaffer Corp.",1.5,13526.0,28868402.0
Ap713333,Em713333,Salaried,Nguyen LLC Corp.,25.1,7722.0,32546626.0
Ap658986,Em658986,Salaried,Weaver LLC Corp.,15.8,10498.0,110373290.0
Ap210078,Em210078,Salaried,Buchanan-Butler Corp.,28.2,10641.0,78469631.0
Ap967055,Em967055,Salaried,Rogers LLC Corp.,20.3,4681.0,28924838.0
Ap122671,Em122671,Salaried,King and Sons Corp.,19.6,26533.0,22423843.0
Ap518400,Em518400,Self-Employed,"Trevino, Gregory and Smith LLC",14.7,17171.0,51070869.0
Ap455528,Em455528,Hourly,Graham Ltd Corp.,25.7,25806.0,124053357.0
Ap710490,Em710490,Hourly,Velasquez-Smith Corp.,19.4,28339.0,107690258.0
Ap151663,Em151663,Salaried,Spencer-Rogers Corp.,15.2,20374.0,116881061.0
Ap115708,Em115708,Salaried,"Chase, Gordon and Patel Corp.",16.4,9219.0,112306647.0
Ap978338,Em978338,Hourly,Franco-Peters Corp.,28.2,10397.0,98390764.0
Ap411955,Em411955,Salaried,"Mullins, Allen and Stone Corp.",12.6,22683.0,109451178.0
Ap233883,Em233883,Salaried,"Kirby, Perry and Cooper Corp.",1.7,25016.0,49048146.0
Ap418394,Em418394,Hourly,"Torres, Williams and Mendez Corp.",0.6,3380.0,11536547.0
Ap212547,Em212547,Salaried,"Humphrey, Baker and Hood Corp.",9.1,16838.0,31430199.0
Ap659042,Em659042,Salaried,Cardenas-Howell Corp.,2.6,12014.0,55542869.0
Ap851102,Em851102,Salaried,Wilcox PLC Corp.,19.9,27321.0,71860101.0
Ap862002,Em862002,Self-Employed,"Hill, Ayers and Case LLC",2.2,12960.0,111926031.0
Ap242483,Em242483,Hourly,Robinson Ltd Corp.,25.2,12152.0,59361114.0
Ap758271,Em758271,Self-Employed,"Orozco, Garcia and Morris LLC",10.5,11075.0,38939156.0
Ap314835,Em314835,Salaried,Beltran Inc Corp.,25.0,8842.0,22491066.0
Ap501896,Em501896,Salaried,Buchanan-White Corp.,23.7,16830.0,87750412.0
Ap184896,Em184896,Self-Employed,"Jackson, Garcia and Atkinson LLC",11.6,17242.0,48047737.0
