applicant_id,applicant_ssn,applicant_full_name,applicant_date_of_birth,applicant_gender,applicant_marital_status,applicant_level_of_education
Ap628178,562-48-7174,Dr. Austin Rhodes Jr.,1973-03-13,Female,Widowed,Some College
Ap665894,707-23-3861,Jessica Henderson,1962-06-21,Female,Single,Some College
Ap589492,402-45-1508,Micheal Herman,1997-09-12,Other,Separated,Doctorate
Ap356840,295-07-8482,BENJAMIN MARTINEZ,1965-12-06,Female,Separated,Some College
Ap573254,509-21-1015,Mitchell Stone,1989-07-16,Male,Divorced,Master's Degree
Ap449457,083-35-0958,Thomas Jackson,1997-12-02,Female,Married,Master's Degree
Ap765987,432-79-5173,Gloria Mendez,1964-08-21,Male,Widowed,Doctorate
Ap370936,118-28-1378,Amy Reeves,1966-07-31,Other,Divorced,Bachelor's Degree
Ap339931,595-15-8735,April Mckenzie,1962-03-30,Male,Widowed,Associate's Degree
Ap339629,467-14-8894,Shane Bennett,1949-12-10,Male,Single,Bachelor's Degree
Ap305041,086-31-1134,Lori Martin,1992-11-17,Female,Married,Master's Degree
Ap798361,781-94-5845,Maria Allen,1985-02-01,Female,Single,Associate's Degree
Ap831912,239-49-6622,David Thompson,1989-08-15,Other,Widowed,Some College
Ap517113,431-38-8989,Alan Martin,2005-10-15,Other,Married,Some College
Ap168148,268-17-3155,Arthur Scott,2001-05-31,Other,Single,Associate's Degree
Ap877089,215-06-5203,Courtney Knight,2006-10-16,Other,Widowed,Doctorate
Ap748531,437-78-8093,Melissa Hill,1950-08-12,Other,Married,Some College
Ap351995,740-96-0857,Derrick Oneill,1957-12-01,Female,Single,High School Diploma
Ap778843,617-53-7457,Randy Moore,1976-04-21,Female,Divorced,Some College
Ap672843,103-51-6353,Connie Harrell,1950-05-07,Other,Divorced,Associate's Degree
Ap356508,419-92-5222,Michael Mullins,1962-04-24,Male,Divorced,High School Diploma
Ap903591,747-25-9027,Jessica Crosby,1995-02-12,Female,Separated,High School Diploma
Ap996942,645-90-7998,Jill Bradford,1959-10-23,Male,Separated,High School Diploma
Ap206530,128-23-1213,Michael Stevenson,1983-04-28,Other,Single,Doctorate
Ap704365,527-77-3793,Chloe Steele,1989-06-07,Other,Widowed,Doctorate
Ap922352,157-07-9817,John Simmons,1991-03-08,Male,Divorced,Master's Degree
Ap560337,261-21-8380,John Benitez,1987-11-16,Other,Widowed,Doctorate
Ap824839,608-80-3503,Dana Curtis,1998-06-04,Female,Separated,Associate's Degree
Ap905889,382-42-2772,Jacqueline Ellis,1955-06-26,Female,Single,Doctorate
Ap559773,017-78-9454,David Jackson,1981-06-28,Female,Separated,Doctorate
Ap308261,012-13-1875,Cody Branch,1964-11-10,Female,Divorced,Some College
Ap864469,513-14-4447,Karen Velasquez,1959-11-08,Female,Widowed,High School Diploma
Ap441097,229-50-5369,William Miller,1991-06-21,Female,Divorced,High School Diploma
Ap415139,552-23-9600,Kristy Hawkins,1972-01-17,Male,Divorced,High School Diploma
Ap271829,231-36-5217,Mark Rosario,1999-07-12,Female,Separated,Bachelor's Degree
Ap371836,677-94-8684,Kathryn Bartlett,1962-11-02,Other,Divorced,Master's Degree
Ap538974,398-71-6973,John Griffith,1972-07-23,Male,Married,Doctorate
Ap302283,068-56-3916,Jacqueline Byrd,1954-01-12,Female,Single,Some College
Ap296769,380-48-2320,Jared Mann,1966-07-27,Male,Married,Doctorate
Ap661353,181-95-8000,Daniel Harvey,1998-03-08,Female,Separated,High School Diploma
Ap323165,471-11-5631,Patrick Morris,1990-05-07,Male,Married,High School Diploma
Ap723587,464-69-4402,Stephanie Russell DVM,1978-06-04,Other,Widowed,Doctorate
Ap635822,038-35-1691,Michael Patterson,2001-04-12,Other,Widowed,Master's Degree
Ap587879,892-70-5395,Margaret Brown,1983-11-10,Other,Separated,Associate's Degree
Ap664685,354-04-7331,MELINDA YOUNG,1989-05-19,Male,Divorced,Some College
Ap882038,169-33-6582,Kathryn Garcia,1983-05-19,Male,Widowed,Some College
Ap453531,552-69-2215,Jodi Rice,1993-01-26,Other,Separated,High School Diploma
Ap363160,261-71-0383,Anna Braun,1960-08-23,Female,Married,High School Diploma
Ap679879,025-48-9800,Thomas Henry,1955-04-23,Other,Divorced,High School Diploma
Ap320884,835-73-0324,Andrew Bennett,1992-12-09,Male,Married,Bachelor's Degree
Ap123247,774-78-4271,Steven Guzman,1953-02-11,Female,Divorced,High School Diploma
Ap124300,472-55-5913,Heather Edwards,1949-05-31,Female,Married,Some College
Ap567281,591-85-7233,Jennifer Moreno,1998-01-14,Female,Divorced,Master's Degree
Ap707086,498-72-0694,Jack Chan,1990-12-29,Male,Married,Doctorate
Ap633556,363-84-6055,Vanessa Sutton,1984-06-04,Other,Separated,Associate's Degree
Ap448951,164-82-6116,Felicia Cox,1955-03-17,Male,Separated,Doctorate
Ap374329,627-40-0162,Ashley Ortega,1978-03-10,Male,Single,Associate's Degree
Ap819064,818-39-8728,Kevin Grant,1963-05-17,Female,Separated,Bachelor's Degree
Ap842139,651-31-5066,Susan Clark,1959-07-28,Female,Single,Master's Degree
Ap532315,358-84-3253,Cheryl Mcdaniel,1971-06-07,Other,Married,High School Diploma
Ap616588,290-17-2333,Molly Davis,1956-01-29,Female,Married,Associate's Degree
Ap336584,624-89-7674,Raymond Payne,2000-06-15,Other,Single,Doctorate
Ap662332,206-76-5103,Shane Thomas,2001-12-06,Other,Married,Bachelor's Degree
Ap937646,451-80-0938,Denise Roy,1974-12-08,Female,Widowed,Doctorate
Ap476896,416-85-5318,Bradley Parker,1962-09-20,Female,Widowed,Some College
Ap148984,495-21-6347,KATHY SMITH,1969-05-11,Other,Single,Bachelor's Degree
Ap402918,060-12-7268,Ian Kelly,1974-09-03,Male,Married,Associate's Degree
Ap364712,504-07-7615,Matthew Nichols,1976-01-17,Other,Divorced,Associate's Degree
Ap220151,263-52-3794,Caitlin Anderson,1990-03-23,Female,Married,Bachelor's Degree
Ap555808,205-40-0375,Molly Ortega,1960-02-01,Other,Widowed,Doctorate
Ap233767,603-27-0268,Julie Edwards,2003-08-03,Other,Divorced,Bachelor's Degree
Ap748663,112-82-0077,April Wood,1956-10-16,Other,Single,Bachelor's Degree
Ap803550,632-88-0924,JOCELYN TODD,1983-08-05,Male,Divorced,High School Diploma
Ap236330,517-75-4522,David Gregory,1994-02-25,Other,Divorced,Some College
Ap580754,691-21-3664,Albert Walton,1971-05-14,Other,Divorced,Doctorate
Ap401648,382-14-9741,Ralph Huber,1960-09-15,Male,Separated,Associate's Degree
Ap788519,637-64-5715,Patricia Smith,2007-01-25,Male,Widowed,Bachelor's Degree
Ap113986,396-81-2562,Joseph Mendez,1994-01-29,Other,Married,Master's Degree
Ap686146,824-34-5363,Gary Benton,1960-08-13,Female,Divorced,Master's Degree
Ap229312,346-89-9172,Brandon Rios,1977-07-15,Male,Widowed,Doctorate
Ap112666,490-78-0183,Alexis Pena,1980-07-21,Other,Single,Bachelor's Degree
Ap400804,689-98-5227,Yolanda Tran,1962-03-01,Other,Single,High School Diploma
Ap234633,266-09-5577,Robert Holmes,1982-09-15,Other,Separated,High School Diploma
Ap388998,529-04-4701,Mr. Brian Phillips,1996-04-25,Other,Separated,Some College
Ap950937,545-65-5485,Edward Wong,2003-09-14,Male,Divorced,Associate's Degree
Ap728776,023-34-9687,Samantha Harris,1993-04-22,Female,Widowed,Associate's Degree
Ap807611,231-52-6092,Luke Bush,1987-07-06,Other,Single,Some College
Ap384806,818-74-6996,ROBERT MATHIS,1951-05-21,Other,Single,High School Diploma
Ap894824,698-91-6162,Brian Bell,1994-05-15,Male,Married,Associate's Degree
Ap130535,706-14-9041,Brett Thomas,1970-07-01,Other,Widowed,Associate's Degree
Ap475713,578-61-0477,Amanda Hernandez,1969-06-10,Female,Married,Doctorate
Ap938688,472-73-3779,Jillian Simmons,1981-06-30,Female,Widowed,Associate's Degree
Ap451279,517-36-7352,Jerry Barton,1994-04-11,Female,Separated,High School Diploma
Ap921654,618-45-3108,Dennis Mccarthy,1953-05-11,Female,Widowed,Doctorate
Ap701661,026-02-4383,Abigail Mcbride,1971-04-06,Other,Divorced,Bachelor's Degree
Ap747972,678-42-9499,Geoffrey Williams,1964-09-24,Other,Widowed,Some College
Ap589570,680-91-5613,Sherry Hall,1970-03-17,Female,Single,Associate's Degree
Ap556551,598-31-7728,Vickie Whitehead,1962-10-06,Female,Widowed,Some College
Ap373109,358-56-4498,Brian Tanner,1990-03-27,Other,Divorced,High School Diploma
Ap124538,639-66-6899,Monica Frazier,2000-09-28,Female,Divorced,Doctorate
Ap994498,858-78-7487,SHERYL PEARSON,1959-07-27,Male,Widowed,Associate's Degree
Ap301664,068-46-0095,Mckenzie Edwards,1962-05-05,Other,Divorced,Bachelor's Degree
Ap591234,763-62-1145,Tammy Anderson,1958-04-23,Female,Divorced,Bachelor's Degree
Ap999684,295-85-8902,Joshua Browning,1970-01-31,Other,Married,Some College
Ap239182,637-90-9671,Joseph Ramirez,1957-03-21,Female,Divorced,Master's Degree
Ap572525,704-94-4270,Carly Larson,1950-05-29,Female,Divorced,Bachelor's Degree
Ap258338,017-19-1046,Michael Rodriguez,1973-03-23,Other,Married,Master's Degree
Ap284064,437-42-4039,Amy Garcia,1974-03-11,Male,Married,Some College
Ap314020,876-23-4215,James Cochran,1961-07-24,Male,Widowed,Some College
Ap723094,261-70-4221,HANNAH HOPKINS,1985-11-04,Female,Widowed,Doctorate
Ap997421,679-01-0201,Cody Green,1966-12-10,Other,Single,Some College
Ap715270,607-72-0140,Cindy Osborn,1979-11-30,Female,Divorced,High School Diploma
Ap745914,176-07-3341,William Jones,1972-09-07,Other,Separated,Bachelor's Degree
Ap219176,755-53-1208,Crystal Miller,1950-01-12,Female,Married,High School Diploma
Ap318126,883-40-7232,Sarah Benton,1968-12-08,Other,Widowed,Some College
Ap318969,486-04-0850,Bryan Hayes,1990-02-16,Other,Married,Some College
Ap222409,048-08-5960,David Martinez,1969-04-22,Other,Single,Some College
Ap647707,312-85-7656,Stephen Evans,1981-05-10,Male,Widowed,Some College
Ap353618,534-36-8585,Sherri Barron,1992-06-23,Female,Divorced,High School Diploma
Ap869598,320-01-0362,William Marsh,2000-02-20,Other,Divorced,Doctorate
Ap150015,726-74-2469,Juan Mcbride,1972-10-26,Other,Widowed,Bachelor's Degree
Ap872838,680-42-9774,James Taylor,2005-04-17,Male,Divorced,High School Diploma
Ap222096,629-67-7290,Jacqueline Delacruz,1995-12-06,Female,Widowed,Bachelor's Degree
Ap731347,086-37-8624,Katherine Sullivan,1960-12-03,Female,Divorced,Bachelor's Degree
Ap285340,620-63-0022,Alicia Moore,1964-03-08,Female,Widowed,Doctorate
Ap210687,890-72-8273,Sara Lawrence,1990-04-08,Female,Widowed,Associate's Degree
Ap974371,200-83-3392,Michael Nichols DDS,2006-03-21,Other,Separated,High School Diploma
Ap511357,319-60-7510,Katrina Meyer,1979-07-10,Other,Single,Master's Degree
Ap835716,339-62-7539,Lauren Allen,1996-09-11,Other,Widowed,Some College
Ap205878,774-69-7158,Victor Rollins,1983-09-02,Male,Married,High School Diploma
Ap827270,533-07-7891,Andrew Klein,1994-03-06,Female,Married,High School Diploma
Ap298286,873-58-5835,Ellen Rodriguez,1996-02-24,Female,Married,High School Diploma
Ap873290,240-02-8060,Patricia Ortiz,1972-08-11,Male,Widowed,High School Diploma
Ap874684,699-84-4815,Susan Pearson,2001-07-04,Male,Widowed,Master's Degree
Ap264899,664-07-0642,Ronald Cole,1982-11-13,Male,Married,Master's Degree
Ap424767,706-29-1483,Kiara Wheeler,1957-08-15,Male,Separated,Master's Degree
Ap961882,741-68-5499,Sheila Simpson,1963-12-08,Other,Widowed,Master's Degree
Ap979858,795-84-7828,Ann Allen,1972-09-09,Male,Single,Associate's Degree
Ap479989,077-48-4129,Lauren Mills,1989-11-04,Other,Single,Associate's Degree
Ap515515,327-01-9577,Natalie Long,1985-05-08,Male,Separated,Associate's Degree
Ap143585,622-93-1138,Eric Rios,1960-08-01,Other,Separated,Bachelor's Degree
Ap471369,091-47-4365,Justin Freeman,1955-05-11,Female,Married,Master's Degree
Ap164044,351-07-7003,Pamela Mcdaniel,1977-04-18,Female,Widowed,High School Diploma
Ap542296,493-44-3618,Jennifer Johnson,1991-04-24,Other,Married,Associate's Degree
Ap209556,583-77-2806,Brad Duncan,1999-01-13,Female,Divorced,Some College
Ap626981,206-06-3942,Victoria Sanders,1963-09-18,Male,Married,Bachelor's Degree
Ap981691,852-56-0685,Heather Moore,1961-02-08,Female,Separated,Some College
Ap867595,158-35-9409,Danielle Johnson,1975-03-03,Other,Divorced,Bachelor's Degree
Ap300235,078-24-2107,Steven Aguirre,1959-07-29,Other,Single,Master's Degree
Ap125939,446-79-3455,Beverly Green,1982-03-29,Other,Married,Associate's Degree
Ap252906,579-34-8951,Alexander Beard,1955-01-16,Male,Divorced,Master's Degree
Ap642335,302-85-7559,Diana Stewart,1971-04-10,Other,Separated,Associate's Degree
Ap388249,193-32-0689,Christine Clay,1972-12-07,Other,Single,Some College
Ap175766,005-74-3592,Jennifer Sheppard,1971-01-20,Female,Single,Master's Degree
Ap508923,878-47-2263,Todd Johnson,1978-06-18,Female,Separated,High School Diploma
Ap515192,192-96-1583,Teresa Jackson,1996-01-02,Other,Widowed,Some College
Ap668550,200-37-2475,Megan Tucker,1967-02-22,Female,Divorced,Doctorate
Ap487261,321-21-7384,Jason Campbell,1962-06-21,Other,Divorced,Bachelor's Degree
Ap910208,695-62-1798,Ian Russell,1970-01-19,Other,Separated,Some College
Ap785440,125-18-6184,John Mclaughlin,1978-08-12,Other,Separated,Bachelor's Degree
Ap752664,877-05-0908,Tanya Phillips,1977-10-25,Female,Separated,Doctorate
Ap554589,333-28-6725,Tiffany Wilson,1975-04-06,Male,Single,Associate's Degree
Ap237848,757-57-9349,Heather Brown,1996-08-16,Other,Divorced,Master's Degree
Ap717075,045-50-7527,Tony Duke,1964-10-14,Female,Separated,Doctorate
Ap227948,652-73-4004,Shawn Cooper,1958-04-22,Other,Separated,Associate's Degree
Ap679304,109-05-4250,Ryan Henderson,2005-01-03,Other,Divorced,Some College
Ap502690,856-86-1517,Cheryl Ellison,1998-06-23,Other,Widowed,Bachelor's Degree
Ap599046,721-66-6080,Edgar Lewis,1976-04-18,Other,Separated,Bachelor's Degree
Ap551269,461-87-5530,Rodney Manning,1967-10-27,Other,Single,Associate's Degree
Ap121959,175-58-9444,Bobby Taylor DVM,1969-12-16,Female,Divorced,Some College
Ap760890,156-62-7552,Paul Becker,1969-11-29,Male,Widowed,Associate's Degree
Ap850216,025-51-1092,Lauren Ward,1950-03-29,Male,Divorced,Master's Degree
Ap890180,698-99-3888,Michael Johnson,1992-06-03,Male,Divorced,Master's Degree
Ap328576,835-29-9509,Leslie Duarte,2001-01-14,Female,Widowed,Bachelor's Degree
Ap637833,274-89-2819,Veronica Wilson,1992-11-23,Female,Separated,Doctorate
Ap265838,115-66-3874,Susan Chavez,1976-09-09,Female,Divorced,Associate's Degree
Ap435674,870-78-7506,Robert Moore,1996-02-11,Female,Separated,Doctorate
Ap979989,769-43-1531,Meghan Hunt,1992-10-29,Female,Single,High School Diploma
Ap161087,373-09-2936,Clifford Lynch,1990-09-05,Male,Married,Master's Degree
Ap693128,314-78-8808,Mary Mcdonald,1969-10-25,Male,Single,Doctorate
Ap218451,195-11-8584,Lynn Wheeler,1986-08-10,Female,Married,Doctorate
Ap547600,096-76-6497,Isaac Suarez,1973-09-02,Female,Divorced,Doctorate
Ap937437,656-14-5298,Dean Hale,1979-04-21,Other,Separated,Doctorate
Ap539792,095-33-3486,Tom Wang,1988-10-06,Female,Divorced,Doctorate
Ap139353,441-89-6208,Monique Henderson,1998-10-24,Male,Separated,Bachelor's Degree
Ap293075,257-87-9840,Rachel Townsend,2005-09-10,Male,Divorced,Some College
Ap314283,307-55-0095,Dylan Kelley,1988-09-30,Female,Single,Master's Degree
Ap414877,627-03-0673,Samuel Chavez,2003-08-28,Female,Separated,Master's Degree
Ap165318,592-20-8699,Mary Alexander,1972-04-18,Female,Married,Associate's Degree
Ap865313,812-35-0015,Robert Figueroa,2005-01-13,Other,Divorced,Doctorate
Ap582690,082-01-0211,Louis Rush,1985-11-14,Male,Single,Some College
Ap516880,231-34-6629,Bobby Roy,1992-10-08,Male,Widowed,Bachelor's Degree
Ap691460,013-33-1088,Molly Archer,1997-10-05,Male,Separated,Doctorate
Ap840976,004-80-2902,Shannon Webb,1989-09-23,Female,Single,Some College
Ap881239,766-28-2102,Jeffrey Cline,2006-05-19,Other,Single,Master's Degree
Ap193264,623-95-1412,Kyle Johnson,1973-10-08,Female,Divorced,Bachelor's Degree
Ap870746,577-17-9768,Stephanie Harris,1988-12-14,Other,Separated,High School Diploma
Ap913168,447-34-2170,Tyler Edwards,1990-11-11,Other,Separated,Associate's Degree
Ap325281,351-54-3974,Michelle Lawson,1954-10-31,Other,Separated,Associate's Degree
Ap737147,858-78-3644,Courtney David,1959-08-29,Other,Married,Some College
Ap998613,208-39-0515,Diana Sullivan,1999-10-27,Other,Separated,Doctorate
Ap494070,439-66-3127,Alexis Lambert,1984-10-01,Male,Divorced,Associate's Degree
Ap452228,360-04-3436,JOHN ROBERTS,1968-03-27,Female,Widowed,Associate's Degree
Ap531839,415-37-3740,Kelly Reed,1985-05-11,Female,Married,Master's Degree
Ap369536,280-03-7357,Troy Mills,1965-09-28,Male,Single,Bachelor's Degree
Ap417824,525-52-7572,Ms. Angela Davenport,1967-12-27,Female,Married,Some College
Ap357426,064-45-1727,Brian Bailey,1995-06-28,Female,Widowed,Some College
Ap277789,081-50-1282,ROBIN SPARKS,1978-05-20,Other,Widowed,Some College
Ap613153,340-81-6519,Jesus Robinson,1987-07-18,Other,Single,High School Diploma
Ap842452,555-04-9813,Dr. Hannah Carr MD,1950-09-15,Other,Widowed,Associate's Degree
Ap937291,090-68-1424,David Wright,1965-08-20,Male,Single,Some College
Ap225657,849-67-3733,Arthur Bailey,1992-10-13,Other,Widowed,Bachelor's Degree
Ap335167,025-33-1206,Kevin Owens,1997-05-24,Female,Single,Doctorate
Ap781669,202-25-0507,Karen Mcdowell,1956-04-25,Female,Widowed,Doctorate
Ap580671,181-13-9553,Kenneth Harris,1957-12-24,Female,Separated,Associate's Degree
Ap819094,799-06-7173,Alexis Le DDS,1966-07-07,Male,Single,Doctorate
Ap170467,482-35-0022,Nancy Collier DVM,1966-09-04,Male,Separated,Doctorate
Ap283734,010-25-8625,Christina Evans,2000-10-13,Other,Single,Master's Degree
Ap722794,681-31-3488,Kimberly Levine,1990-07-20,Male,Divorced,High School Diploma
Ap209751,807-52-5863,Alan Velazquez,1980-05-15,Other,Married,Doctorate
Ap481050,148-83-5283,Felicia Doyle,1993-06-09,Male,Married,Bachelor's Degree
Ap911774,525-29-7225,Sheryl Shields,1990-08-15,Other,Separated,High School Diploma
Ap792517,546-96-1601,Daniel Hayes,1999-04-20,Other,Divorced,Doctorate
Ap561079,612-57-9864,Christopher King,1974-02-24,Male,Widowed,Some College
Ap468452,619-44-8133,Robin Powers,1970-08-23,Female,Divorced,Associate's Degree
Ap206081,683-28-5947,Ruben Dickerson,1955-02-15,Female,Widowed,High School Diploma
Ap713333,303-28-9719,Matthew Hall,1975-01-18,Other,Widowed,Doctorate
Ap658986,686-17-1656,David Mcdonald,1954-05-15,Female,Separated,Associate's Degree
Ap210078,640-18-6642,James Lopez,1956-12-29,Male,Widowed,Master's Degree
Ap967055,613-18-2037,Michael Alvarez,1982-06-14,Male,Widowed,High School Diploma
Ap122671,074-32-7784,Martha King,1952-11-16,Female,Single,High School Diploma
Ap518400,628-69-8891,Brittney Robinson,1978-07-05,Female,Single,Some College
Ap455528,184-18-1652,Eric Schmidt,1965-09-01,Female,Single,Associate's Degree
Ap710490,496-99-8761,Jeremiah Mccoy,1968-10-26,Male,Separated,Master's Degree
Ap151663,881-12-5639,Alexander Mclaughlin,1950-07-06,Male,Married,Doctorate
Ap115708,750-23-2872,Sharon Conner,1996-12-18,Other,Married,Associate's Degree
Ap978338,419-59-2482,Michael Robertson,2000-12-26,Female,Married,Master's Degree
Ap411955,002-51-0230,Jill Alexander,1969-02-09,Female,Married,Bachelor's Degree
Ap233883,143-69-1549,Tim Chandler,2002-03-08,Male,Widowed,Bachelor's Degree
Ap418394,063-80-6831,Michelle Herring,1970-02-26,Female,Widowed,Some College
Ap212547,130-83-6141,Heather Dodson,1993-01-19,Other,Widowed,Some College
Ap659042,579-37-4733,Laurie Henderson,1963-07-29,Male,Married,Doctorate
Ap851102,657-23-2698,Amy Ball,1973-10-24,Female,Widowed,Associate's Degree
Ap862002,863-79-4336,Juan Cox,1986-06-01,Female,Separated,Associate's Degree
Ap242483,517-78-4952,Terry Gillespie,1961-10-29,Other,Single,High School Diploma
Ap758271,674-17-2956,Janice Flores,1950-12-09,Male,Single,Doctorate
Ap314835,101-46-2897,Tanya Herring,1969-02-20,Other,Married,Doctorate
Ap501896,269-61-2292,David Nelson,1969-06-12,Female,Separated,Master's Degree
Ap184896,370-73-8295,Benjamin Garcia,1988-10-14,Female,Divorced,Master's Degree
Ap577095,884-83-7868,Jonathan Smith,1996-07-09,Male,Divorced,Some College
Ap171295,476-53-3943,James Pennington,2004-09-18,Other,Widowed,Associate's Degree
Ap843974,814-67-1547,Melanie Durham,1957-05-10,Female,Single,Some College
Ap987121,880-40-1458,Meghan Buchanan,1965-02-19,Male,Separated,Doctorate
Ap373255,889-78-3683,Debra Cowan,1975-09-10,Male,Married,Some College
Ap399648,239-64-9659,Luke Allen,1980-01-31,Other,Married,High School Diploma
Ap757162,780-10-8077,Eric Richardson,1950-06-06,Other,Widowed,Associate's Degree
Ap108155,483-45-5301,Phillip Wilson,1969-05-08,Male,Widowed,Some College
Ap566872,059-09-9962,Michele Horton,1972-08-08,Female,Widowed,High School Diploma
Ap925816,610-41-9622,Elizabeth Kramer,2005-09-17,Male,Separated,Doctorate
Ap474705,458-99-7589,Jeffrey Stewart,1972-12-19,Female,Widowed,Some College
Ap671542,199-54-4805,Jack Morales,1979-10-21,Male,Widowed,Associate's Degree
Ap908350,575-48-1779,Misty Walter,1965-11-12,Other,Single,Some College
Ap710269,709-43-5911,Sean Jackson,1991-06-20,Other,Widowed,Bachelor's Degree
Ap654594,658-31-4653,Michael Ryan,1956-08-16,Male,Single,Some College
Ap247718,094-94-5833,Kristina Jones,1989-01-14,Male,Widowed,Bachelor's Degree
Ap408987,709-46-8959,Noah Harris,1968-08-27,Female,Widowed,Associate's Degree
Ap745263,245-71-5575,Jenna Smith,1992-05-27,Female,Separated,Master's Degree
Ap458745,459-17-9794,Stacey Williams,1978-10-20,Female,Divorced,Master's Degree
Ap207512,063-18-4947,Annette Smith,1957-12-03,Male,Single,Bachelor's Degree
Ap247443,183-23-7749,Sarah Huff,1984-02-25,Male,Widowed,Bachelor's Degree
Ap570587,162-17-4013,Beverly Manning,2004-06-04,Other,Widowed,Doctorate
Ap473616,388-58-7837,Amber Moore,1951-11-03,Male,Separated,Some College
Ap757409,049-12-8811,Steve Benson,1972-06-11,Other,Widowed,Some College
Ap786976,488-79-2865,Carol Cameron,1967-10-22,Male,Divorced,Some College
Ap465871,743-43-7937,Melissa Garrett,1980-11-02,Female,Divorced,Master's Degree
