Application ID,Application Date,Loan Type,Loan Amount Requested (USD),Loan Purpose,Repayment Tenure (Months),Applicant SSN,Applicant Full Name,Applicant Date of Birth,Applicant Gender,Applicant Marital Status,Applicant Level of Education,Applicant Street Address,Applicant City,Applicant State,Applicant Zip Code,Applicant Phone Number,Applicant Email Address,Employment Type,Employer Name,Duration of Employment (Years),Monthly Income (USD),Bank Account Number,Next of Kin Full Name,Next of Kin Relationship,Next of Kin Phone Number
USLW-APP-20241123-148,2024-11-23,Personal,39213.0,Home Improvement,14.0,369-23-9819,Ray Graham,1982-06-02,Other,Divorced,Master's Degree,38301 Jeffrey Stream,New Ryan,Texas,64186,001-049-890-5814x3703,hectorsmith@guerrero.com,Unemployed,,0.0,0.0,123391890,Gabriel Jones,Spouse,1823476925
USLW-APP-20250328-608,2025-03-28,Personal,48734.0,Home Improvement,56.0,411-40-6357,Amy Smith,1982-11-26,Female,Single,Associate's Degree,836 Castillo Roads,South Devinberg,Texas,57049,+1-304-901-4065,collinsisaac@smith-williams.biz,Self-Employed,Mcconnell LLC LLC,7.6,6863.0,062723558,Jerry Zhang,Sibling,(695)834-5041x6433
,2024-06-21,Small Business,485066.0,Working Capital,66.0,521-62-5510,Lauren Scott,2005-12-12,Male,Separated,Doctorate,3845 Bailey Turnpike,New Stephanie,Oregon,92442,392.951.3048x45288,victoria76@jackson-johnson.info,Salaried,"Charles, Clark and Holt Corp.",7.9,15482.0,016572700,Toni Johnson,Parent,
USLW-APP-20240524-388,2024-05-24,Personal,49044.0,Other,57.0,794-94-9872,JOSEPH HAMMOND,1989-02-10,Male,Married,Some College,,West Rebecca,California,82663,(827)827-5762x91102,jenniferlee@donaldson.net,Salaried,Sweeney LLC Corp.,3.8,12553.0,,Ronald Gill,Parent,+1-925-729-2416x76679
USLW-APP-20240408-452,2024-04-08,Small Business,,Working Capital,48.0,461-46-4993,James Small,1971-06-13,Female,Married,Doctorate,636 Grant Locks Apt. 213,West Robertview,Iowa,53252,(558)443-2523x861,sandersmatthew@olson.com,Hourly,"Nelson, Martinez and Rodriguez Corp.",15.7,21414.0,065556748,Kristin Copeland,Sibling,393-862-2554x0056
USLW-APP-20240802-408,2024-08-02,Mortgage,445307.0,Refinance,335.0,241-54-9602,Kristen Hale,2007-03-26,Other,Divorced,Associate's Degree,611 Linda Lights,Madisonchester,Oklahoma,88284,0011481723374x71056,spencermelissa@barnes.com,Hourly,Rice-Brown Corp.,9.9,6183.0,022790259,Drew Preston,Friend,3955043536
USLW-APP-20240807-893,,Mortgage,769572.0,Home Purchase,351.0,838-36-7615,James Dean,1996-10-29,Male,Divorced,High School Diploma,89603 Golden Junctions,Tiffanyland,West Virginia,65950,282.354.8329x2419,ricardo36@gmail.com,Salaried,Medina Group Corp.,18.5,12783.0,094554766,Aaron Sanders,Sibling,001-027-864-5895x3150
,2024-06-29,Personal,23387.0,Medical Expenses,33.0,566-01-4327,Mark Gardner,,Male,Single,Some College,2086 Cortez Wall,Port April,Arkansas,55170,917-382-6490x99907,,Retired,,0.0,0.0,123553515,Mary Wilson,Spouse,727.006.2026x00325
USLW-APP-20240908-814,2024-09-08,Small Business,179624.0,Startup Costs,79.0,572-79-6307,Brittney Rodriguez,1949-12-19,Female,Divorced,High School Diploma,989 Cristina Cove,Adamland,Oregon,54323,(175)152-8764,alexanderbarbara@parker.info,Self-Employed,Brown-Lopez LLC,12.0,16883.0,072130843,Lisa Hines,Sibling,125-394-8230x644
USLW-APP-20250129-750,2025-01-29,Personal,1900.0,Home Improvement,23.0,301-32-8248,Cindy Allen,1992-03-28,Female,Separated,Associate's Degree,9142 Paige Curve Apt. 168,New David,North Carolina,43570,959.399.0837x88285,gordon79@gmail.com,Hourly,"Rodriguez, Richardson and Morris Corp.",28.1,4085.0,025024511,Carl Brown,Sibling,690-783-3376x9293
USLW-APP-20240416-746,2024-04-16,Small Business,132958.0,Working Capital,76.0,,Trevor Bishop,1970-01-27,Other,Widowed,Bachelor's Degree,8096 Emily Lodge,New Scott,Mississippi,98335,997.521.2177x105,zgrant@hotmail.com,Hourly,"Lee, Hawkins and Shields Corp.",17.3,19975.0,083052651,Dakota Rivera,Parent,683-195-6915
USLW-APP-20240426-908,2024-04-26,Small Business,98833.0,Expansion,79.0,692-76-8399,Amy Dudley,1990-11-18,Other,Widowed,Master's Degree,1955 Hicks Manors Suite 892,North Darrenside,Texas,63731,587.102.9878x30446,ebrooks@bentley.com,Self-Employed,"Jackson, Kelly and Gregory LLC",15.1,18068.0,107879244,Miss Jacqueline Watson MD,Parent,(980)573-8800x9905
USLW-APP-20240706-410,2024-07-06,Small Business,52153.0,Expansion,81.0,264-72-9120,Daniel Price,1975-11-26,Other,Divorced,Some College,4493 Huynh Square,East Alyssa,Vermont,,+1-978-690-9244,grahamwesley@esparza.com,Salaried,"Barnett, Hart and Martin Corp.",7.2,25785.0,029289705,Stacey Blankenship,Parent,(019)629-1049
USLW-APP-20240429-789,2024-04-29,,11309.0,Debt Consolidation,32.0,877-86-4675,Steven Garcia,1979-03-07,Other,Widowed,Bachelor's Degree,2527 Dan Forest Apt. 552,South Amandaborough,Colorado,17031,001-439-810-1420,moraleswilliam@rivera-fisher.com,Salaried,Johnston and Sons Corp.,10.8,7079.0,125289489,Tina Parker,Parent,6179419867
USLW-APP-20241209-682,2024-12-09,Mortgage,113683.0,,315.0,,Lisa Clark,2005-04-29,Male,,Associate's Degree,152 Danny Park Suite 446,North Trevor,South Carolina,53804,9963569549,shobbs@gmail.com,Retired,,0.0,0.0,059699831,Madison Johnston,Parent,001-558-057-5285
USLW-APP-20241025-974,2024-10-25,Personal,45621.0,Home Improvement,50.0,066-06-0347,,1959-04-27,Other,Married,Associate's Degree,2111 Justin Groves,Carriemouth,Montana,85065,001-523-164-0609x9743,beth31@gmail.com,Hourly,,20.3,10625.0,013724030,,Parent,4328766498
USLW-APP-20240821-508,2024-08-21,Small Business,292838.0,Equipment Purchase,26.0,165-85-3412,Diana Lee,2002-12-25,Female,Separated,Doctorate,8411 Morgan Route Apt. 160,Port Katieshire,West Virginia,,(185)158-2840x91149,rita60@yahoo.com,Salaried,Mullen-Kelley Corp.,17.0,22695.0,019943077,Erica Thompson,Spouse,917.329.6647x7564
USLW-APP-20250214-551,2025-02-14,Personal,,Home Improvement,54.0,439-01-8801,Karen Harris,1976-06-29,Female,Single,Doctorate,9607 Jessica Stream Suite 710,Elliottton,South Dakota,07513,001-497-206-5598,gibsontristan@mcgee-smith.com,Unemployed,,0.0,0.0,122653018,,Spouse,549.851.3309x486
USLW-APP-20241209-689,2024-12-09,,30477.0,Debt Consolidation,52.0,470-38-4266,Jason Hammond,1955-11-13,Male,Single,Some College,184 Freeman Ridge Suite 904,North Davidmouth,California,21168,441.007.3625x768,,Salaried,Chang Ltd Corp.,18.4,25384.0,061718386,Jennifer Reeves,Friend,001-121-454-5696x2534
USLW-APP-20240720-379,2024-07-20,Small Business,386383.0,Equipment Purchase,49.0,566-60-4912,Gregory Rodriguez,1991-03-01,Male,Single,Associate's Degree,0674 Byrd Brooks,East Ebonyport,Oklahoma,87965,870.983.3557x69318,elutz@quinn.com,Salaried,Garrett PLC Corp.,26.8,17970.0,078287091,David Hanson,Sibling,(012)387-1063x0855
USLW-APP-20240727-366,2024-07-27,Small Business,109661.0,Expansion,31.0,184-89-9934,Martin Huynh,1955-08-28,Female,Separated,Associate's Degree,845 Kelly Pike Suite 835,Millerborough,Oregon,89140,001-094-734-6526x42769,tammy83@yahoo.com,Salaried,Compton Ltd Corp.,5.3,12243.0,032957493,Darrell Griffith,Spouse,(614)019-2544
USLW-APP-20241110-500,2024-11-10,Mortgage,142374.0,Refinance,200.0,544-99-8148,Terri King,1976-12-12,Male,Married,High School Diploma,289 Joshua Parkways,Jaclynfort,Arkansas,60603,001-563-367-3911x73851,rmiller@hughes-thompson.com,Salaried,Ashley-Wilson Corp.,17.9,4642.0,059947541,Jacqueline Meyer,Parent,(922)965-7481x62558
USLW-APP-20240923-509,2024-09-23,Auto,63401.0,Refinance,49.0,651-11-3190,Patrick Foster,1995-01-09,,Separated,Bachelor's Degree,196 Sarah Branch,Nathanshire,Iowa,,248-692-1490,ellen66@smith.com,Salaried,Parks LLC Corp.,10.6,16304.0,123198255,Jessica Foster,Spouse,081.074.8330
USLW-APP-20250201-362,2025-02-01,Small Business,93257.0,Working Capital,45.0,404-01-1682,Eric Wilson,1956-06-18,Other,Divorced,High School Diploma,5202 Brown Course,Maryshire,Rhode Island,29905,(956)390-2389x05839,,Salaried,Dunn Group Corp.,23.1,4550.0,108108862,Tina Schultz,Sibling,+1-075-923-5167
USLW-APP-20240920-177,2024-09-20,Mortgage,545751.0,Refinance,334.0,867-74-3121,Mr. Joseph Estrada,1984-12-03,Female,Widowed,Doctorate,2434 Wilson Parks,,Illinois,17397,+1-132-111-5033x27636,iraymond@rogers-hughes.com,Salaried,Stewart Ltd Corp.,3.7,14120.0,112170420,Jamie Sanchez,Parent,(665)909-6446
USLW-APP-20240713-736,2024-07-13,Mortgage,922685.0,Refinance,191.0,223-08-2065,Connie Norman,1956-07-10,Male,Separated,Doctorate,2568 Underwood Mill Apt. 800,New Monicastad,,39500,001-180-011-8194,joeparrish@hernandez.com,Salaried,,24.5,10786.0,063716409,Mrs. Amanda Johnson,Friend,001-260-165-5740x02450
USLW-APP-20240415-708,2024-04-15,Mortgage,856258.0,Home Purchase,284.0,381-19-9182,Dawn Randall,1991-02-13,Female,Separated,Doctorate,3231 James Track,North Markfurt,Nevada,61695,898.630.3996x6595,markwinters@hotmail.com,Hourly,"Arroyo, Lindsey and Cox Corp.",24.2,19812.0,029797035,Jessica Pollard,Parent,8640595443
USLW-APP-20250202-827,2025-02-02,Mortgage,619591.0,Refinance,294.0,840-04-1465,Rose Franklin,,Male,Married,Associate's Degree,7138 Davis Springs,Barnesbury,Hawaii,61012,8651052243,bartlettlogan@foster-kelly.com,Self-Employed,Johnson Group LLC,5.3,6400.0,051286349,Stacy Marshall,Sibling,117-985-3881x81600
USLW-APP-20241018-119,,Small Business,419353.0,Equipment Purchase,24.0,824-92-9683,Rodney Wilson,1957-04-26,Female,Married,Master's Degree,0027 Brooks Shoal Suite 463,New Victoria,Arkansas,27698,(916)983-1010x39347,randall94@hotmail.com,Self-Employed,"Carr, Wise and Marshall LLC",7.2,17154.0,098784286,Dr. Darren May DDS,Sibling,651-277-7083
USLW-APP-20241111-825,2024-11-11,Personal,,Medical Expenses,48.0,001-10-1932,Andrew Mann,1955-11-02,Male,Married,Master's Degree,6490 John Hills,North Codyview,Arkansas,97183,001-861-948-4032x834,henrykristen@powers.biz,Self-Employed,Parsons LLC LLC,2.5,12150.0,052030976,Juan Price,Friend,001-619-344-2796
USLW-APP-20250113-175,2025-01-13,Personal,24259.0,Medical Expenses,38.0,830-19-0880,Dorothy Weaver,1979-11-01,Other,Widowed,Associate's Degree,9645 Maurice Walks,New Danielmouth,Texas,81690,896-648-1248x8671,travisclark@flores.net,Hourly,Brown Ltd Corp.,28.4,17800.0,123561866,Luke Howard,,9765644044
USLW-APP-20240723-276,2024-07-23,Small Business,389256.0,Inventory,71.0,897-39-7755,Angela Nelson,2004-09-04,Female,Married,High School Diploma,7477 Barry Corners,Marcusshire,Alabama,59470,001-434-166-9641x312,thull@turner.net,Salaried,"Owen, Glass and Wheeler Corp.",28.0,12317.0,021328059,George Schmidt,Spouse,+1-775-809-2288
USLW-APP-20240609-654,2024-06-09,Personal,46939.0,Other,12.0,531-19-0895,,1974-06-27,Female,Married,Some College,6346 Rice Field,Carrberg,Oklahoma,25779,569-409-2295,wagnerjustin@sims.com,Salaried,,1.0,19984.0,102632732,Rebecca Shepherd,Spouse,+1-108-835-4268x647
USLW-APP-20240926-510,2024-09-26,Auto,17469.0,Refinance,53.0,581-88-7244,Michael White,1963-11-07,Male,Single,Master's Degree,346 Dominique Circles,Lake Kristen,South Carolina,46729,796.742.8879x384,nancywells@gmail.com,Self-Employed,Crosby-Lambert LLC,,16386.0,077967040,Angela Bond,Friend,503-082-8586
USLW-APP-20240406-854,2024-04-06,Personal,27834.0,Other,22.0,755-35-1733,Carrie Flores,2004-08-29,Other,Separated,Associate's Degree,97622 Kimberly Village,New Jeffery,Illinois,41828,001-643-342-7724x3785,baldwinamanda@hotmail.com,Self-Employed,Bush-Brooks LLC,19.1,21459.0,032569593,Roger Gray,Friend,094.375.3181x483
USLW-APP-20241203-556,2024-12-03,Small Business,304718.0,Working Capital,47.0,217-98-8303,Edward Sherman,1978-08-12,Other,Single,High School Diploma,918 Roberts Key Apt. 896,Lake Leahmouth,Alaska,86836,260.620.3575x8328,bryanmontoya@gmail.com,Salaried,Smith Ltd Corp.,20.6,15612.0,069947311,Charles Hale,Sibling,288.427.2854x56503
USLW-APP-20240602-906,2024-06-02,Personal,20962.0,Education,27.0,044-76-8656,Anthony Campbell,1954-05-18,Male,Single,High School Diploma,8894 Kara Street Suite 643,Thompsontown,South Dakota,84738,001-927-355-5711x488,yrobinson@ayers-thompson.info,Salaried,Harvey-Jennings Corp.,16.6,12016.0,112133807,Steven Stephenson,Spouse,(626)791-5670
USLW-APP-20241031-727,2024-10-31,Personal,4629.0,Other,55.0,622-83-7400,Matthew Carr,1997-06-11,Female,,Doctorate,089 Evans Squares,Patrickberg,Ohio,97825,508.084.3069,obrienkimberly@anderson.biz,Self-Employed,"Brown, Boyd and Wilson LLC",9.0,3154.0,017328568,Kyle Tucker,Spouse,8800375659
USLW-APP-20240929-368,2024-09-29,Small Business,333270.0,Startup Costs,59.0,707-78-1880,Matthew Wood,1990-04-21,Female,Widowed,High School Diploma,8436 Williams Glen Suite 498,Port Kyleberg,Ohio,33522,309-987-2620x9972,orodriguez@hotmail.com,,Foley-Armstrong Corp.,11.9,9710.0,058371406,Rebecca Black,Friend,(654)938-8585
USLW-APP-20241121-743,2024-11-21,Auto,5569.0,Used Car Purchase,71.0,249-40-2776,Danielle Lucas,1983-01-25,Female,Divorced,Some College,2825 Santana Trafficway Apt. 794,New Ralph,Kansas,96013,8176512060,fgrimes@yahoo.com,Salaried,Young Group Corp.,26.8,16503.0,078315730,Tracey Allen,Parent,001-005-362-9814x884
USLW-APP-20240724-654,2024-07-24,Small Business,,Startup Costs,40.0,266-01-7161,Renee Morales,2000-06-23,Male,Married,Associate's Degree,01353 Joanna Well Suite 146,Davisport,New Mexico,04625,(700)987-8553,ncarter@hotmail.com,Self-Employed,"Harrison, Marshall and Strickland LLC",12.1,12928.0,128887011,Jennifer Sanchez,Sibling,541.755.3470
USLW-APP-20240924-333,2024-09-24,Personal,20783.0,Home Improvement,30.0,636-59-8182,Samuel Beard,1991-11-12,Male,Divorced,Associate's Degree,4922 Teresa View,Heatherside,Connecticut,46700,(436)914-8765x397,eschneider@clayton.org,Self-Employed,Deleon Inc LLC,4.1,24094.0,095524038,Eric Fernandez,Friend,(475)810-9652x42135
USLW-APP-20241017-563,2024-10-17,Personal,43127.0,Other,34.0,187-12-8594,Holly Brown,1966-09-13,,Divorced,Associate's Degree,9545 Palmer Cove,West Miguelland,Michigan,72727,+1-506-106-0329x199,katelyngomez@gmail.com,Hourly,"Hall, Phillips and Rivas Corp.",4.4,16869.0,084822110,,Sibling,890-461-6220x42025
USLW-APP-20250324-439,2025-03-24,Mortgage,575763.0,Home Purchase,318.0,409-71-0489,William Barron PhD,1987-11-22,Female,Single,Master's Degree,692 Scott Lake,Phillipsshire,Oklahoma,97342,(368)553-3900x646,wendy52@gmail.com,Salaried,Peck Ltd Corp.,8.4,20751.0,085512254,Gerald Smith,Sibling,(255)261-7730x6007
USLW-APP-20250202-499,2025-02-02,Personal,,Debt Consolidation,45.0,880-70-9087,Samantha Hernandez,1973-04-10,Other,Married,High School Diploma,059 Daniel Glens Suite 948,Brianbury,Michigan,13485,075-602-2495,michaelpeck@hotmail.com,,"Walker, Clark and Barry Corp.",5.3,3371.0,046373568,Kevin Fitzgerald,Friend,001-497-010-8617x29596
USLW-APP-20250130-495,,Personal,21274.0,Medical Expenses,,332-97-9584,Kimberly Wolfe,1952-06-29,Female,Single,Associate's Degree,3754 Daniel Flat Suite 221,Katherineburgh,North Carolina,35146,7163977518,richardsonpaul@yahoo.com,Salaried,Trujillo-Weber Corp.,28.8,23713.0,073660532,Melissa Oneill,Spouse,(148)456-2646x4776
USLW-APP-20241209-943,2024-12-09,Small Business,473893.0,Working Capital,72.0,342-01-0742,Marcus Wallace,1951-05-04,Other,Single,Master's Degree,,Howellstad,Oregon,17188,+1-222-829-2848x1121,ubrown@miller.com,Salaried,"Johnson, Jones and Smith Corp.",27.4,27365.0,097664129,Thomas Ball,Parent,7740440552
USLW-APP-20250209-293,2025-02-09,Personal,44567.0,Medical Expenses,39.0,482-13-9214,Nicole Matthews,1990-11-21,Female,Divorced,,749 West Ville,Bestberg,Connecticut,80333,(131)552-6473,ngonzales@king-shaw.biz,Salaried,Nguyen and Sons Corp.,29.7,27611.0,,John Ryan,Parent,1416225643
USLW-APP-20240611-594,2024-06-11,,39557.0,New Car Purchase,48.0,701-18-9650,,2004-05-05,Other,Widowed,Master's Degree,9152 Myers Garden Apt. 231,Daviesview,Iowa,13233,949-729-5269x2012,,,Bowen-Williams Corp.,13.4,25147.0,073423229,Peter Maldonado,Sibling,249-022-9265x21303
USLW-APP-20240727-383,,Personal,47795.0,Debt Consolidation,55.0,683-53-8925,Michael Underwood,1991-05-05,Male,Married,Bachelor's Degree,745 Linda Spur,Westmouth,California,19841,9242092676,stanleymariah@yang.org,Salaried,"Greene, Brandt and Wright Corp.",24.0,11603.0,012097690,Jessica Gay,Friend,487.856.5383x802
USLW-APP-20241122-503,2024-11-22,Small Business,462609.0,Working Capital,39.0,468-15-1379,Jeremy Ibarra,1973-03-25,Male,Separated,Bachelor's Degree,7848 Guerrero Rapids,New Marthachester,Mississippi,29783,0010673644129x9966,kristin48@hall.com,,Peterson-Owens LLC,13.8,9514.0,093381370,Amy Ortiz,Friend,001-721-103-5680x169
USLW-APP-20241202-619,2024-12-02,Mortgage,198216.0,Refinance,342.0,509-15-0091,Michael Roberts,,Other,Divorced,Doctorate,8679 Powell Rest,Sancheztown,Alaska,26104,099-778-3194x5162,ashleyjennifer@hotmail.com,Salaried,Sanchez and Sons Corp.,2.0,6381.0,036753923,Alexis Foster,Spouse,253.859.8920x498
USLW-APP-20250402-988,2025-04-02,Small Business,112177.0,Working Capital,77.0,,Sandy Beck,1977-06-13,Male,Married,High School Diploma,6944 Anna Place Suite 058,Heathermouth,Kansas,16759,001-520-430-2735x208,,Salaried,"Warren, Calhoun and Nelson Corp.",,9665.0,066932154,Jane Heath,,001-176-994-0843x9835
USLW-APP-20241125-789,2024-11-25,Mortgage,885613.0,Refinance,350.0,,Barbara Huynh,1989-06-27,Male,Widowed,Doctorate,9679 Michelle Mall,Rodriguezmouth,Alabama,79784,062-794-8195x816,,Self-Employed,Smith-Black LLC,19.4,14345.0,123538271,Jennifer Hansen,Parent,+1-073-411-2796
USLW-APP-20241006-857,2024-10-06,Small Business,257338.0,Equipment Purchase,65.0,579-23-3460,Jonathan Sutton,2001-11-18,Other,Single,Doctorate,13912 Dustin Isle,Port Nathanhaven,Wisconsin,40867,548.029.7068x195,misty46@hotmail.com,Salaried,,2.5,5036.0,072006113,Elizabeth Chang,Spouse,(392)031-4124
USLW-APP-20240910-943,2024-09-10,Personal,15023.0,Other,52.0,595-02-1719,Maria Michael PhD,1992-12-01,,Widowed,,3178 Carter Corners Apt. 297,New Scott,Wisconsin,,635-201-9714x2061,ryanmichael@gmail.com,Self-Employed,Ruiz and Sons LLC,9.9,19130.0,087724749,Stephanie Johnston,Spouse,001-271-156-3460x07306
USLW-APP-20240606-112,2024-06-06,Auto,71937.0,New Car Purchase,35.0,770-63-4407,Meghan Chen,1970-11-28,Other,Married,Master's Degree,1714 Wayne Canyon Suite 193,Mcmahonburgh,Iowa,02069,(096)697-9950x564,cruzshannon@leblanc.com,Self-Employed,"Luna, Trevino and Moon LLC",11.4,8358.0,059236498,Randy Smith,Parent,(614)492-6728x45406
,2024-12-22,Personal,3059.0,Education,43.0,339-78-4152,Rebecca Perry,,Other,Separated,Associate's Degree,01938 Osborne Mountain Suite 038,Stevensburgh,Oklahoma,55321,(408)721-9135x208,stephanie99@munoz.com,Salaried,"Thompson, Chambers and Garrett Corp.",22.1,14022.0,045286494,Joel Guzman,,275-454-6757x1482
USLW-APP-20240620-997,2024-06-20,Small Business,325021.0,Startup Costs,,146-34-6969,Joseph Brown,1998-03-23,Male,Separated,Some College,36147 Amanda Path Apt. 424,Garrettville,South Dakota,57657,0013225820724x8838,sross@ford.com,Self-Employed,Miller-Wilson LLC,2.5,9999.0,059203573,Tamara Richards,Spouse,001-426-565-6891x9210
USLW-APP-20250216-379,2025-02-16,Small Business,135962.0,Startup Costs,32.0,181-24-8449,Kimberly Miller,1986-08-29,Female,Widowed,Some College,38049 Douglas Alley Apt. 572,Wheelerhaven,Alabama,43576,(337)203-0554,michelletaylor@jones-jones.com,Salaried,,4.8,13995.0,054298855,Erica Vang,Sibling,(325)644-5850x472
USLW-APP-20240607-842,2024-06-07,Mortgage,960429.0,Refinance,275.0,687-62-7928,Sydney Phelps,1953-10-29,Male,Single,High School Diploma,2535 Calderon Plains,Port Brittany,,,001-593-369-0658,,Salaried,"Barber, Gallegos and Lyons Corp.",2.0,2804.0,070258565,Ashley Douglas,Sibling,(839)278-5763
USLW-APP-20240503-558,,Personal,49223.0,Vacation,34.0,060-31-9492,Brenda Leblanc,1988-01-27,Male,Divorced,Master's Degree,0958 Daniel Falls,South Jeremiahmouth,Iowa,19715,5008389718,mooredavid@yahoo.com,Self-Employed,Santos Inc LLC,8.5,6107.0,025928015,Philip Lopez,Parent,001-424-394-5598x5345
USLW-APP-20241022-426,2024-10-22,Personal,37209.0,,22.0,627-98-2323,Cole May,1986-01-27,Female,Separated,High School Diploma,89179 Jake Falls,Lake Tyler,Oklahoma,79791,801.709.7806x6764,thomasperez@powers.com,Salaried,Smith-Pierce Corp.,,8802.0,059547271,Christopher Washington,,001-251-137-2931x37905
USLW-APP-20250121-388,2025-01-21,Personal,2575.0,Other,59.0,188-70-4880,,1959-12-17,Other,Married,Master's Degree,874 Holloway Canyon Apt. 655,Lake Yvonne,Hawaii,58554,0010151250074x15407,kimberly93@yahoo.com,Salaried,Phillips PLC Corp.,0.6,8150.0,104016631,Kevin Abbott,Friend,521.552.6691
USLW-APP-20250207-899,2025-02-07,Personal,36741.0,Vacation,22.0,313-41-4270,Robert Thompson,1993-09-25,Male,,High School Diploma,90588 Scott Springs,North Sarah,Arkansas,98793,001-529-202-3360x8266,mreeves@yahoo.com,Hourly,Jones-Gilbert Corp.,1.0,12209.0,127124830,Jordan Mcbride,Sibling,(572)377-0677x5366
