Applicant SSN,Credit Score,Number of Credit Accounts,Number of Derogatory Marks
818-74-6996,736,5,0
698-91-6162,564,7,0
320-93-2931,625,8,2
536-68-2135,850,9,2
338-55-1682,579,0,0
611-75-4035,300,1,0
706-14-9041,833,2,0
538-52-5687,510,11,1
833-09-6816,817,3,0
773-21-1842,850,3,0
356-19-5949,718,7,2
184-21-5303,694,6,1
753-79-8597,850,4,1
783-70-3410,751,3,1
826-95-9850,845,6,2
693-55-8434,600,11,2
,637,7,0
332-61-4160,574,4,0
432-16-7616,837,13,4
352-61-5726,702,4,1
610-65-8771,819,8,0
069-92-1117,568,14,3
209-65-7789,666,4,0
578-61-0477,833,5,0
212-33-4893,791,8,1
321-57-1712,477,11,1
652-78-8815,813,5,1
,622,5,1
123-65-1627,588,8,1
851-06-7128,720,5,1
700-86-1665,815,14,4
279-10-4138,740,4,1
164-07-6018,544,5,0
,664,13,4
472-73-3779,694,13,3
146-38-5161,596,15,4
899-61-2166,685,13,2
545-01-3405,598,10,2
224-03-0297,615,2,0
247-61-4090,685,3,1
644-16-1068,477,9,1
517-36-7352,546,14,0
160-13-3173,508,8,1
003-61-3942,661,14,2
002-11-8881,767,7,0
618-45-3108,657,10,1
012-01-2377,712,5,1
327-77-0781,781,3,1
026-02-4383,598,12,2
704-95-5734,439,11,3
,598,4,0
190-05-0102,617,5,1
786-49-0879,403,7,1
678-42-9499,674,12,1
874-89-4505,591,0,0
770-97-4663,529,8,2
628-43-1582,652,12,3
833-72-6477,599,13,1
846-77-8595,850,14,4
147-64-3529,735,10,2
697-43-9285,784,8,0
680-91-5613,718,0,0
042-68-6703,700,12,1
125-79-4241,664,9,2
668-83-9973,709,8,1
546-68-7470,714,6,2
598-31-7728,565,8,0
358-56-4498,496,3,0
499-68-3795,627,1,0
378-62-9677,602,13,3
665-75-3246,565,10,2
021-30-8150,551,9,1
639-66-6899,741,12,4
635-94-7216,552,15,2
346-89-9598,595,6,0
,643,10,0
433-15-8612,609,3,0
750-88-0708,659,12,0
064-63-6013,457,6,0
075-12-0122,673,12,0
105-88-4648,741,13,0
214-34-4692,838,7,2
361-93-2078,567,11,3
858-78-7487,564,0,0
448-74-5285,850,14,3
577-74-9472,728,6,1
,560,7,1
512-38-0775,488,7,1
619-99-2753,626,15,2
192-86-9482,404,3,0
550-83-9775,655,10,1
832-37-5389,691,3,1
342-12-0365,668,0,0
284-85-6398,502,1,0
452-60-1777,350,5,0
669-64-2471,531,6,1
131-09-8824,376,4,1
489-80-7982,767,5,1
062-54-1501,441,8,2
226-76-2010,781,6,2
107-41-5981,468,11,3
068-46-0095,833,3,0
512-08-5196,757,13,2
763-62-1145,850,6,1
,685,14,0
820-10-1471,603,15,5
705-46-3305,720,8,2
167-72-2845,850,3,0
791-98-3550,766,0,0
,850,8,2
414-71-8371,524,9,2
779-57-6801,850,12,1
051-65-0684,552,10,0
295-85-8902,850,7,0
478-12-6936,542,9,0
678-95-4692,577,13,3
126-13-0241,632,13,4
122-04-1446,696,9,2
857-13-6283,767,12,3
141-39-8362,611,4,1
415-87-3471,680,4,0
337-04-9695,693,11,3
591-99-5146,645,15,2
310-26-4936,484,2,0
637-90-9671,820,3,1
704-94-4270,847,11,0
,704,13,2
017-19-1046,688,12,1
746-87-0602,681,10,1
583-88-6194,833,13,4
311-57-0902,391,7,2
587-16-3746,513,0,0
145-77-0045,676,11,3
816-16-3619,850,11,2
568-37-0039,779,1,0
849-64-3988,600,6,1
248-04-6355,786,5,0
061-71-9146,677,13,1
518-26-0230,428,7,2
438-81-2023,711,8,1
467-43-4699,779,5,1
599-79-7941,761,3,1
437-42-4039,850,6,1
,545,15,0
876-23-4215,596,3,1
634-75-1609,801,7,0
096-90-6206,850,10,0
261-70-4221,512,13,0
834-48-9409,714,8,0
304-36-1073,660,7,0
238-29-2879,579,0,0
679-01-0201,700,9,1
607-72-0140,806,14,1
550-25-7865,485,14,4
176-07-3341,730,4,1
104-73-2324,817,5,0
625-10-3213,759,5,1
,417,0,0
422-84-5359,639,13,1
755-53-1208,545,12,4
883-40-7232,850,1,0
783-95-3335,484,13,4
328-95-7293,550,0,0
486-04-0850,769,6,2
048-08-5960,505,14,1
,772,9,3
752-40-8706,714,2,0
602-92-3318,662,0,0
315-54-7316,634,3,0
312-85-7656,850,10,2
871-68-6956,696,7,1
534-36-8585,493,8,0
637-28-2694,850,0,0
320-01-0362,833,10,1
385-68-1112,603,14,4
043-21-2362,717,0,0
361-08-0514,850,6,2
216-07-9783,389,0,0
726-74-2469,834,0,0
632-31-0174,777,0,0
806-60-4570,637,8,0
680-42-9774,598,6,0
629-67-7290,741,14,4
783-60-2182,620,14,0
549-83-7462,764,5,0
534-35-2495,556,2,0
727-11-9321,666,11,0
247-39-0523,709,1,0
250-77-8247,410,5,1
086-37-8624,579,4,1
620-63-0022,765,12,4
139-57-4632,611,10,2
739-71-8841,614,8,0
003-84-6445,749,11,2
544-65-3131,569,0,0
890-72-8273,792,2,0
786-44-6208,794,6,2
011-34-2431,439,4,0
682-97-4497,710,3,1
200-83-3392,479,6,0
484-89-8208,714,0,0
792-29-8936,744,5,0
319-60-7510,732,4,0
339-62-7539,715,14,4
774-69-7158,617,8,0
520-93-4986,482,7,1
874-20-4987,580,4,0
659-53-7321,524,3,1
324-07-0942,850,6,1
454-37-8854,795,1,0
053-27-1094,850,11,2
533-07-7891,636,9,0
050-09-2513,769,8,1
004-85-0415,698,13,1
270-32-1844,577,14,3
546-14-2015,850,5,0
873-58-5835,709,0,0
,621,11,2
240-02-8060,773,2,0
427-74-2636,566,4,0
699-84-4815,670,2,0
664-07-0642,715,8,1
732-99-7097,841,11,2
561-13-3901,703,3,1
004-10-1500,735,13,2
781-39-7180,603,12,3
123-94-4546,679,5,0
706-29-1483,614,7,0
614-49-1634,651,15,5
489-10-7725,770,6,2
092-37-3745,850,6,0
304-86-8690,714,7,0
678-71-4712,586,11,2
099-54-6210,667,6,1
741-68-5499,789,15,4
798-77-8024,556,5,0
118-70-0573,766,15,4
795-84-7828,586,11,1
,613,14,2
,818,7,0
115-10-7689,704,7,0
028-27-8230,395,4,0
367-78-2896,790,15,3
077-48-4129,830,4,0
521-52-2345,850,15,2
355-52-0439,688,4,0
468-75-6171,850,8,1
873-28-5456,615,12,2
,583,7,2
096-63-5197,565,6,1
327-01-9577,700,14,4
622-93-1138,738,6,0
801-72-0156,667,15,1
350-31-1179,718,14,1
676-25-3744,370,6,0
091-47-4365,815,5,0
351-07-7003,850,14,0
493-44-3618,694,10,3
583-77-2806,626,11,2
097-32-2012,779,15,2
224-26-1639,597,11,1
017-90-6768,524,9,3
,759,13,1
,518,4,0
010-40-3155,792,6,0
591-23-9941,850,5,0
206-06-3942,462,11,3
852-56-0685,506,12,1
820-68-2705,405,15,1
785-77-7443,850,7,1
201-78-1879,745,0,0
087-26-1680,643,1,0
088-69-1315,763,11,0
556-43-1232,809,12,2
296-42-4869,818,3,1
254-85-7083,783,6,1
335-28-8420,821,4,0
158-35-9409,653,4,1
791-39-9089,693,10,2
012-67-8150,374,6,0
164-42-9025,795,4,1
674-12-8544,676,12,1
135-33-4765,671,4,0
078-24-2107,795,4,0
573-32-7992,627,9,0
446-79-3455,606,0,0
089-03-1229,836,10,0
579-34-8951,561,2,0
294-14-0821,694,6,1
171-73-1113,586,7,1
302-85-7559,625,14,0
193-32-0689,850,10,0
005-74-3592,564,11,2
704-70-2907,594,6,1
878-47-2263,646,7,1
798-17-5039,762,3,1
764-30-0225,465,6,1
192-96-1583,656,2,0
184-20-5247,612,10,1
830-22-7746,752,7,2
531-96-2973,590,9,0
601-67-7086,673,15,0
200-37-2475,300,11,1
026-69-4435,695,9,3
899-93-5588,830,11,0
147-74-5339,598,6,0
867-29-2266,537,1,0
321-21-7384,482,12,4
695-62-1798,850,4,1
781-83-2190,358,7,1
797-12-1677,844,6,1
125-18-6184,742,12,4
363-10-4397,596,2,0
701-41-1395,735,10,3
841-88-6782,816,3,0
824-15-4369,638,11,3
309-37-4392,698,3,1
877-05-0908,690,8,2
333-28-6725,475,10,2
594-79-8690,603,2,0
658-43-2318,683,2,0
757-57-9349,850,4,0
045-50-7527,491,3,1
,626,10,0
323-16-2290,519,14,3
120-75-0293,850,3,0
454-40-0478,850,10,0
633-38-5246,386,15,5
408-53-7607,577,7,2
787-67-9981,706,6,1
715-01-5253,850,15,1
652-73-4004,703,5,0
840-73-1829,625,4,0
868-79-3767,816,15,0
505-21-2440,556,6,2
109-05-4250,771,13,2
171-74-9615,850,10,3
856-86-1517,664,12,0
810-72-7830,789,12,4
261-54-5305,751,13,1
491-18-9153,727,7,2
461-89-3170,850,6,0
721-66-6080,661,12,4
272-84-0835,653,5,1
461-87-5530,803,3,1
376-23-4359,833,1,0
716-93-2313,671,5,0
788-39-6614,850,4,1
,850,10,0
368-56-0528,850,9,2
580-25-1112,564,14,2
175-58-9444,850,10,3
156-62-7552,761,12,4
349-49-4586,670,15,0
025-51-1092,654,14,2
698-99-3888,358,13,0
,846,1,0
835-29-9509,669,11,3
780-41-1569,300,6,1
,666,8,0
274-89-2819,576,9,0
660-71-7594,532,15,3
683-27-4185,704,12,0
,704,12,4
115-66-3874,687,12,3
431-39-3557,686,10,3
339-24-2489,634,14,3
726-90-3238,590,15,2
876-72-4616,625,14,4
226-40-7520,786,1,0
833-58-5187,850,14,0
756-87-4090,619,9,0
494-30-3254,791,14,1
870-78-7506,618,6,1
769-43-1531,574,2,0
136-74-4473,719,1,0
786-48-3800,850,7,2
597-31-5600,685,14,2
404-22-5946,492,5,1
373-09-2936,735,8,0
314-78-8808,597,10,2
195-11-8584,647,10,2
709-39-5589,727,12,1
096-76-6497,758,4,1
656-14-5298,701,10,3
223-91-4001,474,14,4
095-33-3486,850,13,2
020-82-3345,541,13,1
097-83-1284,623,9,3
324-04-8988,555,10,2
527-81-6812,770,14,4
866-96-6956,536,13,2
893-84-5033,674,14,0
659-61-9024,626,15,3
441-89-6208,759,4,0
106-98-3711,850,13,1
251-01-7942,566,7,0
257-87-9840,414,5,0
476-77-5273,850,3,0
816-06-9844,720,13,2
590-18-5033,769,6,0
515-02-3065,850,2,0
861-36-0756,663,10,1
023-21-1272,653,8,1
307-55-0095,705,9,3
,646,12,0
627-03-0673,597,11,2
547-97-0632,728,12,4
306-88-3769,765,5,0
210-99-6931,622,15,2
401-90-2986,626,12,2
530-39-9594,850,3,1
592-20-8699,471,13,1
812-35-0015,656,14,4
774-17-3499,850,1,0
705-11-6330,850,14,0
082-01-0211,815,9,2
817-40-9371,552,9,0
029-38-3766,628,8,0
277-58-4744,790,15,1
231-34-6629,566,12,0
667-69-5098,721,11,3
013-33-1088,823,6,2
289-60-6063,732,9,0
,792,7,1
347-34-3447,850,8,1
004-80-2902,613,11,1
394-64-1138,616,6,1
542-03-8880,456,3,1
841-85-7256,733,7,2
467-15-4071,850,1,0
264-51-0039,850,2,0
333-02-0452,616,8,2
766-28-2102,771,1,0
400-25-4415,715,4,1
623-95-1412,735,9,0
088-39-6860,850,13,3
178-08-4663,746,5,1
,593,9,1
577-17-9768,638,7,0
447-34-2170,717,15,5
395-33-2101,737,9,0
710-51-7798,689,3,1
332-73-6051,634,0,0
351-54-3974,661,3,0
562-97-5404,440,14,4
443-10-0687,763,14,3
331-80-9700,469,1,0
030-87-6750,482,14,0
858-78-3644,743,4,0
596-58-2651,634,7,2
208-39-0515,788,5,1
280-34-5473,649,5,0
633-53-6314,642,11,0
441-86-9224,643,4,0
,687,3,0
439-66-3127,560,15,2
129-97-3401,631,2,0
,747,9,1
360-04-3436,555,11,0
702-90-6240,850,4,0
875-99-3827,703,2,0
079-17-8096,733,3,1
674-13-2143,573,1,0
,694,6,1
211-76-8250,516,5,1
415-37-3740,672,13,2
280-03-7357,850,8,1
525-52-7572,736,1,0
064-45-1727,575,7,0
081-50-1282,464,6,0
419-79-1373,752,10,0
662-22-5785,539,15,5
817-17-8491,560,3,1
172-49-6821,748,0,0
851-26-6496,717,9,1
728-39-6174,705,8,2
672-85-5305,498,7,1
,440,1,0
340-81-6519,654,4,0
555-04-9813,635,7,2
090-68-1424,850,15,2
048-67-2086,749,3,0
043-67-1573,621,14,1
849-67-3733,760,5,1
150-63-8276,787,3,0
565-76-6361,670,9,0
025-33-1206,761,5,0
202-25-0507,694,5,0
181-13-9553,713,6,2
114-42-5855,519,2,0
669-78-7784,571,3,0
577-83-5136,633,1,0
273-02-3164,622,0,0
109-33-1587,710,6,2
283-90-2613,850,7,0
085-18-4572,738,4,1
439-73-2154,711,3,0
799-06-7173,850,6,0
391-38-4638,440,11,3
642-77-2276,850,8,1
482-35-0022,628,2,0
787-04-4772,722,6,0
176-47-9938,590,2,0
838-35-3776,745,3,0
010-25-8625,850,1,0
681-31-3488,541,1,0
653-76-4217,670,4,0
807-52-5863,722,15,0
,570,8,1
596-90-6240,703,0,0
624-30-7965,661,7,0
148-83-5283,707,14,3
124-98-7721,440,8,0
278-86-9178,524,0,0
642-92-2342,850,7,0
735-93-5405,608,10,3
212-62-4397,589,7,0
525-29-7225,408,4,1
749-09-7356,775,11,2
855-53-4920,738,1,0
799-97-5148,552,13,0
795-03-9742,517,8,2
546-96-1601,716,3,0
612-57-9864,602,9,0
662-32-0552,746,4,0
619-44-8133,850,15,3
683-28-5947,538,10,0
303-28-9719,662,0,0
021-54-3281,658,14,2
706-87-5067,807,13,4
129-13-5980,793,10,2
201-61-1672,661,14,1
761-17-3572,488,3,1
733-49-6667,850,7,1
686-17-1656,850,10,1
640-18-6642,601,1,0
458-39-1524,850,7,0
880-10-2236,586,11,2
613-18-2037,476,0,0
216-17-0983,476,14,0
074-32-7784,694,6,2
628-69-8891,482,15,0
431-94-4214,622,2,0
372-38-0333,768,15,3
005-19-4560,545,10,1
184-18-1652,850,12,4
767-16-2740,700,5,1
496-99-8761,493,13,3
223-45-5707,722,2,0
175-92-9595,850,13,0
579-52-8191,593,7,1
881-12-5639,587,13,2
750-23-2872,567,4,0
320-19-6172,651,2,0
559-40-2761,591,10,1
465-83-9857,601,12,1
304-60-8193,720,8,0
419-59-2482,850,7,2
820-07-5579,575,11,0
247-12-9249,850,11,2
693-96-8739,811,4,0
190-08-5518,677,1,0
002-51-0230,610,1,0
143-69-1549,575,0,0
076-69-7653,850,14,2
898-84-4925,522,4,0
224-57-3420,849,10,3
780-43-9877,455,13,4
063-80-6831,704,4,0
201-73-7307,752,4,1
